#id  F6  F7  F8  F9  F10  F11  F12  F13  F14  F15  F16  F17  F18  F19  F20  F21  F22  F23  F24  F25  F26  E6  E7  E8  E9  E10  E11  E12  E13  E14  E15  E16  E17  E18  E19  E20  E21  E22  E23  E24  E25  E26  zspec
8929  0.193998  0.204267  0.266196  0.201409  0.274057  0.254636  0.253677  0.220597  0.289522  0.19697  0.233088  0.167618  0.207033  0.207759  0.247514  0.212579  0.257016  0.307327  0.329731  0.299006  0.52835  0.0546166  0.0466181  0.045347  0.0413081  0.0413898  0.0431843  0.042636  0.0433034  0.0420593  0.0405901  0.0423642  0.0348509  0.0410679  0.0510243  0.0542039  0.057932  0.0649352  0.0595278  0.0683782  0.089179  0.0939636  -1.0
8941  0.418525  0.351076  0.562499  0.61853  0.58819  0.535846  0.662768  0.636797  0.942587  0.72437  0.945626  0.987006  0.989467  1.24888  1.11666  1.06777  1.19796  1.2854  1.38791  1.49087  2.21432  0.167222  0.152508  0.145719  0.239881  0.155695  0.133637  0.131829  0.126456  0.145835  0.143217  0.154108  0.168031  0.17221  0.185495  0.199925  0.215286  0.224105  0.25093  0.275311  0.330376  0.377454  -1.0
9020  1.01719  1.03219  0.765665  1.1392  0.701198  0.595991  0.680704  0.547469  0.603782  0.560273  0.577032  0.882756  0.745553  0.70945  0.963117  1.09335  1.07597  1.6415  1.75906  2.13344  1.56848  0.610731  0.504085  0.285056  0.268401  0.315032  0.2501  0.23081  0.221535  0.279722  0.40337  0.374023  0.228684  0.255794  0.292165  0.312034  0.369422  0.406072  0.470153  0.534575  0.573761  0.636226  -1.0
9127  0.198536  0.180468  0.141228  0.141554  0.177404  0.144278  0.116735  0.108893  0.142378  0.139971  0.167494  0.114836  0.236854  0.263124  0.222598  0.14485  0.155855  0.120915  -99.0  0.368603  0.327975  0.157421  0.0781997  0.0734172  0.0679463  0.063601  0.0623616  0.0639672  0.0626258  0.107065  0.0648311  0.0686863  0.0691736  0.135267  0.0812197  0.0889633  0.102083  0.133563  0.150567  -99.0  0.150637  0.285374  -1.0
9146  2.2532  1.4738  1.20138  1.33438  1.24865  1.49142  1.21529  1.33598  1.81921  1.40398  1.35656  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  0.526707  0.465965  0.429273  0.395084  0.413219  0.376809  0.367477  0.373219  0.384765  0.404257  0.389427  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -99.0  -1.0
9161  0.164195  0.241434  0.245856  0.205685  0.17997  0.176085  0.187413  0.18712  0.272949  0.262567  0.221575  0.231931  0.252999  0.216392  0.280234  0.275651  0.231483  0.290884  0.218414  0.340284  0.559346  0.0367419  0.034759  0.0326728  0.0296568  0.0278835  0.0273963  0.0279175  0.0291335  0.0318873  0.0307885  0.0303601  0.0318043  0.0341989  0.0367453  0.0421705  0.0441145  0.046119  0.0529636  0.0568188  0.0649508  0.0910346  -1.0
9247  31.7717  32.9943  36.4252  49.9391  54.19  47.5862  53.9163  64.613  70.8469  96.8282  113.001  109.911  113.355  129.158  146.798  154.256  156.171  159.794  171.395  184.621  187.638  1.91796  1.98818  2.19492  3.00925  3.2654  2.86746  3.24891  3.89347  4.26912  5.85574  6.80924  6.62304  6.83057  7.78283  8.86173  9.31196  9.44451  9.66365  10.3838  11.1851  11.3883  -1.0
9319  0.0848556  0.0500128  0.0530493  0.0592544  0.0572531  0.0868085  0.0639558  0.0960371  0.084163  0.106797  0.131826  0.134846  0.0723235  0.11432  0.119036  0.0829852  0.122157  0.140061  0.113554  0.174984  0.271245  0.0406481  0.0349425  0.0321222  0.0311186  0.0296885  0.0294441  0.0311295  0.0295191  0.0515102  0.0306814  0.0329338  0.0330295  0.0348883  0.0373356  0.0425853  0.0465277  0.0524024  0.058486  0.0645665  0.128488  0.103134  -1.0
9343  1.14288  1.34165  1.33463  1.50827  1.63682  1.6034  1.74021  1.87034  1.94824  2.07415  2.19786  2.21513  2.33862  2.41747  2.55177  2.66196  2.73377  2.83688  2.83479  2.9363  3.10227  0.0887219  0.0946842  0.0925946  0.100547  0.107162  0.105671  0.111853  0.119405  0.124167  0.132191  0.139837  0.141176  0.149554  0.155385  0.165125  0.173411  0.17987  0.188502  0.191133  0.203397  0.219273  -1.0
9359  2.00116  2.05115  2.06842  2.20679  2.17691  2.13247  2.16491  2.35788  2.70397  2.97413  2.6507  2.3644  2.37728  2.32295  2.39134  2.3931  2.35375  2.34789  2.46557  2.42752  2.54168  0.127974  0.129167  0.129131  0.137051  0.134723  0.131972  0.133745  0.144898  0.165285  0.182122  0.162893  0.146582  0.148155  0.146282  0.151887  0.153039  0.152311  0.154736  0.16383  0.165782  0.177166  -1.0
