#id  F6  F7  F8  F9  F10  F11  F12  F13  F14  F15  F16  F17  F18  F19  F20  F21  F22  F23  F24  F25  F26  E6  E7  E8  E9  E10  E11  E12  E13  E14  E15  E16  E17  E18  E19  E20  E21  E22  E23  E24  E25  E26  zspec
28638  0.298622  0.28421  0.337723  0.346416  0.483772  0.436475  0.554676  0.539807  0.54195  0.567335  0.789441  0.785236  0.839618  0.954468  0.99092  1.25003  1.37226  1.43377  1.53278  1.45051  1.75018  0.0869572  0.0636595  0.0636186  0.0572074  0.0595632  0.0563463  0.0577541  0.0573194  0.061254  0.0613512  0.0725128  0.0723823  0.0769394  0.086531  0.0927406  0.109119  0.120087  0.124847  0.139626  0.14851  0.16684  -1.0
28816  0.0595113  0.0549794  0.116027  0.123766  0.146785  0.122225  0.13168  0.138446  0.154412  0.12218  0.124349  0.161525  0.158869  0.207492  0.0913693  0.00612349  0.0887725  0.0486228  0.0717465  0.127962  -99.0  0.067631  0.0750104  0.100667  0.0557664  0.0544566  0.0509318  0.0517692  0.0529263  0.0517705  0.0550784  0.0574601  0.0618015  0.0652186  0.0717522  0.0769616  0.142495  0.119371  0.178298  0.119191  0.167664  -99.0  -1.0
28891  1.06062  1.073  1.13084  1.07132  1.13836  1.09708  1.18053  1.24704  1.3296  1.36333  1.39136  1.26055  1.11892  1.26671  1.40826  1.43826  1.53335  1.51384  1.73173  1.48184  1.42929  0.0982276  0.0922676  0.0912249  0.0878193  0.092079  0.0890974  0.0907478  0.0962663  0.0994635  0.103467  0.105292  0.0985412  0.0969453  0.103699  0.119414  0.12274  0.136847  0.139051  0.163201  0.165876  0.213687  -1.0
28927  3.31437  3.98142  4.19025  4.50735  4.88699  5.31863  5.61204  5.9506  6.30898  6.61242  6.86878  7.0178  7.47205  7.93892  8.09098  8.56091  8.77326  9.44327  9.55432  10.1158  10.2679  0.212313  0.248992  0.259322  0.277967  0.299788  0.325111  0.342438  0.363096  0.384279  0.404197  0.419122  0.428215  0.455932  0.486144  0.495455  0.524232  0.53914  0.581339  0.590251  0.627133  0.639907  -1.0
29202  0.327462  0.315735  0.418562  0.44259  0.302636  0.341792  0.369183  0.345972  0.343084  0.293954  0.275093  0.36959  0.340157  0.180369  0.282462  0.363582  0.416062  0.196518  0.489508  0.421115  0.45173  0.102146  0.0967739  0.0859815  0.0820756  0.0828029  0.0780044  0.0862197  0.0795219  0.083626  0.0778103  0.0793589  0.0874785  0.0906682  0.0985626  0.110987  0.11736  0.128428  0.148716  0.158168  0.183254  0.207611  -1.0
29401  14.4105  14.3233  14.7978  15.4226  16.2959  17.0215  17.8649  18.7223  19.5039  20.7587  21.8132  23.0441  24.6173  26.4533  28.4656  30.1106  31.2666  32.5896  34.2799  35.8031  39.0159  0.910595  0.90042  0.925434  0.961157  1.01558  1.05711  1.10754  1.1607  1.20915  1.29596  1.35469  1.42863  1.52884  1.64573  1.77092  1.8798  1.95536  2.04518  2.15498  2.25851  2.47388  -1.0
29480  0.111174  0.16233  0.124749  0.100879  0.123186  0.115867  0.135319  0.136773  0.0716407  0.135419  0.17233  0.143655  0.120526  0.221046  0.134387  -99.0  0.334318  0.218977  0.190037  -99.0  -99.0  0.0580712  0.055712  0.0770818  0.0481157  0.0456212  0.0454393  0.0417255  0.0422779  0.0443129  0.0458437  0.0488905  0.0503163  0.0552618  0.0580794  0.0664325  -99.0  0.124902  0.100498  0.152313  -99.0  -99.0  -1.0
29671  0.395841  0.399025  0.36482  0.351562  0.363346  0.291662  0.358659  0.368297  0.391345  0.353573  0.394349  0.446025  0.458862  0.513999  0.573273  0.454989  0.387865  0.346928  0.327008  0.240592  0.212971  0.0610286  0.0554108  0.0490766  0.0487435  0.0446571  0.0425602  0.0447431  0.0459055  0.0469087  0.0453754  0.0466265  0.0511384  0.0548522  0.0627826  0.0686533  0.0650101  0.0710427  0.0747695  0.0927377  0.0951361  0.103013  -1.0
29892  0.33034  0.314136  0.298622  0.368535  0.401348  0.368435  0.450693  0.422592  0.633405  0.516463  0.554267  0.536638  0.575387  0.559911  0.548277  0.451771  0.404912  0.472758  0.468124  0.36952  0.373526  0.058964  0.056788  0.0499307  0.051657  0.0515938  0.0507629  0.052163  0.0535447  0.059487  0.052878  0.0560866  0.0584977  0.062222  0.0662629  0.0716723  0.076813  0.0794847  0.0863867  0.0954002  0.103711  0.119191  -1.0
30256  0.499391  0.479247  0.450361  0.478763  0.494265  0.501556  0.540605  0.731949  0.769772  0.69997  0.675335  0.637499  0.64965  0.664111  0.626384  0.701198  0.732422  0.675834  0.643106  0.634221  0.67007  0.04766  0.0420951  0.0399491  0.0400254  0.0400871  0.0394804  0.0418498  0.0517352  0.0538235  0.0509188  0.0495667  0.0485893  0.0500092  0.0520598  0.054543  0.0603723  0.0665597  0.067801  0.070383  0.0738864  0.0822825  -1.0
