# pearsid field ra dec zspec zspec_source zspec_qual netsig d4000 d4000_err
66753 GOODS-N 189.206239 62.235220 0.7520 Barger_UV Z 395.31 1.31 0.05
39487 GOODS-N 189.207262 62.185225 1.0189 Barger_K Z 134.13 1.17 0.08
82267 GOODS-N 189.207799 62.261628 0.9419 Barger_K Z 175.92 1.46 0.08
37225 GOODS-N 189.208158 62.182990 0.6831 Wirth_2004 4 241.33 1.25 0.06
48650 GOODS-N 189.209032 62.204725 0.9057 Barger_ACS Z 293.92 1.49 0.06
53708 GOODS-N 189.209434 62.212731 0.6806 Barger_K Z 501.56 1.60 0.06
42119 GOODS-N 189.209596 62.190913 0.9541 Barger_UV Z 152.40 1.29 0.08
69850 GOODS-N 189.209772 62.238518 0.8181 Barger_UV Z 100.30 1.14 0.10
37044 GOODS-N 189.213646 62.181028 1.2258 Barger_ACS Z 88.27 1.77 0.18
94851 GOODS-N 189.214895 62.283940 0.9548 Barger_ACS Z 82.39 1.22 0.11
62719 GOODS-N 189.216541 62.225615 0.9605 Barger_K Z 157.73 1.42 0.08
38212 GOODS-N 189.216902 62.183097 0.9540 Barger_K Z 126.20 1.48 0.10
52097 GOODS-N 189.217031 62.207323 1.2240 Barger_ACS Z 71.03 1.62 0.23
79426 GOODS-N 189.217982 62.260341 0.9385 Barger_ACS Z 285.63 1.68 0.07
67582 GOODS-N 189.220252 62.234699 1.0144 Barger_K Z 139.62 1.22 0.09
94097 GOODS-N 189.220391 62.281966 0.7614 Barger_UV Z 101.45 1.16 0.09
75267 GOODS-N 189.220894 62.252423 0.9378 Barger_K Z 282.91 1.70 0.07
39801 GOODS-N 189.221731 62.188003 0.9380 Barger_K Z 333.14 1.41 0.05
54598 GOODS-N 189.224556 62.215020 0.6420 Wirth_2015 4 694.02 1.36 0.04
85491 GOODS-N 189.224713 62.268616 0.8499 Barger_K Z 212.08 1.13 0.05
65833 GOODS-N 189.225379 62.231777 0.8501 Barger_UV Z 212.70 1.32 0.06
78300 GOODS-N 189.225646 62.254197 0.8488 Wirth_2004 4 250.04 1.18 0.05
