# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
53563 GOODS-N 189.192230 62.213010 0.8729 0.8927 0.0079 3DHST 1.3550 0.1037 1.6407 0.0687 189.4741 144.3301
53708 GOODS-N 189.209434 62.212820 0.6887 0.6887 0.0055 3DHST 1.3308 0.1062 1.7588 0.0662 159.9297 159.9297
54282 GOODS-N 189.131823 62.212119 0.9909 1.0760 0.0663 3DHST 1.1970 0.1890 1.4262 0.1197 115.2464 47.9039
54405 GOODS-N 189.166361 62.213991 0.8166 0.7578 0.0060 3DHST 0.9248 0.0592 1.3473 0.0421 339.6857 175.8130
54598 GOODS-N 189.224556 62.215109 0.6631 0.6305 0.0111 3DHST 1.2557 0.0840 1.4178 0.0464 209.2573 165.7121
55392 GOODS-N 189.176715 62.214624 1.1578 1.1578 0.0173 3DHST 1.2708 0.2238 1.2246 0.1114 89.6162 89.6162
55923 GOODS-N 189.113842 62.216150 1.1659 1.1659 0.0109 3DHST 1.0772 0.1035 1.0969 0.0525 349.3110 349.3110
56019 GOODS-N 189.161955 62.216033 1.1568 1.1700 0.0189 3DHST 1.1496 0.1812 1.2266 0.0970 64.7305 62.0821
56233 GOODS-N 189.237149 62.217217 1.2254 1.1673 0.0120 3DHST 1.1672 0.1780 1.6683 0.1344 63.7045 39.2919
57792 GOODS-N 189.231038 62.219887 0.9315 0.9315 0.0031 3DHST 1.4322 0.1137 1.5618 0.0657 100.8616 100.8616
58084 GOODS-N 189.229795 62.217778 0.9918 0.9653 0.0145 3DHST 1.4831 0.1835 1.7845 0.1195 75.9332 49.6321
58703 GOODS-N 189.139962 62.222290 0.9111 0.7915 0.0205 3DHST 1.2114 0.0759 1.2375 0.0396 680.8328 157.8336
59024 GOODS-N 189.143125 62.220220 0.8294 0.7703 0.0155 3DHST 1.2072 0.1304 1.5140 0.0895 110.1102 55.8178
59375 GOODS-N 189.171367 62.220789 1.0089 0.9955 0.0202 3DHST 1.2014 0.1107 1.3739 0.0649 196.5129 195.8860
59723 GOODS-N 189.210291 62.221245 0.8321 0.8200 0.0085 3DHST 1.5903 0.2997 1.2956 0.1168 41.1434 40.9715
59863 GOODS-N 189.203237 62.221892 0.8033 0.7564 0.0116 3DHST 1.1625 0.1699 1.3327 0.0865 166.1816 136.3902
60092 GOODS-N 189.151200 62.222291 0.7089 0.6019 0.0327 3DHST 1.1149 0.1347 1.2629 0.0661 408.6818 132.7028
60103 GOODS-N 189.206064 62.221384 1.1866 1.2131 0.0190 3DHST 1.1837 0.2494 1.4473 0.1569 71.2013 64.7825
60675 GOODS-N 189.176570 62.222126 0.8232 0.7529 0.0280 3DHST 1.2200 0.2960 1.4887 0.1578 49.1735 26.7430
61065 GOODS-N 189.175163 62.222689 0.8687 0.8201 0.0116 3DHST 1.0825 0.1615 1.1569 0.0868 67.2356 41.6735
61291 GOODS-N 189.162352 62.224920 0.9906 0.9775 0.0081 3DHST 1.3870 0.1248 1.7105 0.0773 72.4424 72.3057
61746 GOODS-N 189.202411 62.224630 0.9505 0.8516 0.0228 3DHST 1.1450 0.1681 1.2775 0.0960 114.6527 62.4106
62107 GOODS-N 189.160379 62.227589 0.9963 1.0223 0.0223 3DHST 1.3321 0.1533 1.6585 0.0962 72.9940 72.2088
62118 GOODS-N 189.152115 62.228115 0.6437 0.6115 0.0103 3DHST 0.9682 0.0735 1.2475 0.0494 470.5334 441.5128
62128 GOODS-N 189.155168 62.226361 0.9995 0.9476 0.0355 3DHST 1.2106 0.2394 1.4609 0.1442 51.0654 43.5602
62376 GOODS-N 189.180433 62.225828 0.9288 0.7857 0.0499 3DHST 1.2898 0.2008 1.3097 0.1054 154.4187 54.2735
62388 GOODS-N 189.197674 62.225111 0.9350 0.7804 0.0369 3DHST 1.1001 0.2287 1.4857 0.1613 86.4524 32.7751
62719 GOODS-N 189.216541 62.225704 0.9726 0.9089 0.0209 3DHST 1.3114 0.1434 1.5182 0.0838 170.0733 104.9741
63227 GOODS-N 189.153547 62.229494 0.9118 0.8866 0.0110 3DHST 1.1720 0.0762 1.1685 0.0396 675.3782 658.7823
63419 GOODS-N 189.170656 62.228275 1.0029 0.9897 0.0253 3DHST 1.4181 0.2046 1.3221 0.1038 187.2748 186.4449
63526 GOODS-N 189.171079 62.227810 0.8683 0.9030 0.0089 3DHST 1.5030 0.2207 1.8771 0.1359 113.0195 80.8928
64523 GOODS-N 189.179820 62.229955 1.2106 1.1815 0.0218 3DHST 1.0989 0.1688 1.1746 0.0992 154.7245 148.2893
65022 GOODS-N 189.231330 62.231617 1.1334 1.1193 0.0136 3DHST 1.0992 0.1428 1.2899 0.0770 116.3640 111.2596
65404 GOODS-N 189.193118 62.234728 1.0070 1.0417 0.0198 3DHST 1.1961 0.0740 1.3712 0.0421 699.7737 649.7426
65833 GOODS-N 189.225379 62.231866 0.8954 0.7657 0.0399 3DHST 1.1813 0.1392 1.5442 0.0755 376.8421 109.9497
66753 GOODS-N 189.206239 62.235309 0.7213 0.6765 0.0122 3DHST 1.5271 0.1205 1.5831 0.0625 182.6936 141.3031
69764 GOODS-N 189.193349 62.238527 0.7500 0.7519 0.0043 3DHST 2.6222 0.3506 2.8918 0.1827 6706.5040 6672.9036
69850 GOODS-N 189.209772 62.238607 0.8832 0.7653 0.0396 3DHST 0.9309 0.1669 1.2579 0.1127 189.0818 109.1485
70156 GOODS-N 189.161450 62.239534 0.9590 0.8026 0.0578 3DHST 1.1569 0.1743 1.2441 0.0962 205.0676 98.9361
70787 GOODS-N 189.245169 62.243123 0.8286 0.7359 0.0116 3DHST 1.1329 0.0626 1.2945 0.0400 503.7525 188.1877
70857 GOODS-N 189.116152 62.247046 0.7193 0.7193 0.0039 3DHST 1.1990 0.0896 1.4323 0.0464 323.4513 323.4513
72201 GOODS-N 189.143711 62.242866 0.8345 0.7197 0.0533 3DHST 1.2375 0.1447 1.4449 0.0737 254.0847 72.4759
72684 GOODS-N 189.190696 62.245196 1.1978 1.0604 0.0166 3DHST 1.1323 0.2273 1.3249 0.1241 189.1532 72.1260
72800 GOODS-N 189.195373 62.246604 0.6540 0.7083 0.0492 3DHST 0.9682 0.0549 1.2330 0.0359 454.3674 310.1102
72986 GOODS-N 189.173811 62.243879 0.9333 0.9903 0.0390 3DHST 0.9207 0.1825 1.3237 0.1188 111.0085 95.4028
73058 GOODS-N 189.124581 62.244810 0.7603 0.7486 0.0083 3DHST 1.5076 0.1322 1.4086 0.0603 66.1219 66.0727
73266 GOODS-N 189.239410 62.247635 1.1951 1.1951 0.0455 3DHST 1.1643 0.1439 1.6429 0.1017 83.4768 83.4768
73756 GOODS-N 189.249760 62.247251 0.7817 0.7131 0.0143 3DHST 1.3983 0.1732 1.3252 0.0801 121.9363 80.5847
74641 GOODS-N 189.174731 62.249158 0.8502 0.8502 0.0157 3DHST 1.2732 0.1319 1.4727 0.0846 81.8849 81.8849
74794 GOODS-N 189.192301 62.247818 0.6358 0.5828 0.0177 3DHST 1.0900 0.2412 1.4862 0.1717 74.2823 49.2612
74900 GOODS-N 189.156752 62.248289 0.7809 0.8551 0.0065 3DHST 3.6703 0.4307 2.7380 0.1605 4897.5586 2926.1745
74987 GOODS-N 189.240780 62.248689 0.8299 0.8320 0.0121 3DHST 1.1913 0.0850 1.5197 0.0563 107.7079 106.0077
