# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_south_idv41 figs_ra figs_dec threed_ra threed_dec
100546 34004 53.131164 -27.753824 53.131167 -27.753826
100547 34055 53.126850 -27.753815 53.126850 -27.753818
100548 34017 53.185299 -27.753908 53.185298 -27.753906
100549 33855 53.137157 -27.754173 53.137159 -27.754175
100550 34008 53.154091 -27.754038 53.154089 -27.754034
100551 34043 53.147709 -27.754000 53.147706 -27.754001
100552 34079 53.123176 -27.754007 53.123173 -27.754011
100553 34042 53.148254 -27.753963 53.148265 -27.753961
100554 34040 53.191192 -27.753950 53.191204 -27.753948
100555 34089 53.114029 -27.754009 53.114047 -27.754042
100556 34086 53.122089 -27.754024 53.122149 -27.754073
100557 34086 53.122165 -27.754104 53.122149 -27.754073
100558 34064 53.121494 -27.754110 53.121502 -27.754113
100559 34074 53.190727 -27.754076 53.190723 -27.754080
100560 34022 53.171383 -27.754078 53.171383 -27.754081
100561 34057 53.146107 -27.754183 53.146103 -27.754185
100562 34001 53.173637 -27.754225 53.173639 -27.754224
100563 33957 53.173618 -27.754396 53.173620 -27.754396
100565 34045 53.205150 -27.754175 53.205158 -27.754164
100566 33983 53.160938 -27.754228 53.160936 -27.754233
100567 33931 53.190624 -27.754333 53.190628 -27.754331
100568 33934 53.190540 -27.754492 53.190549 -27.754490
100569 33918 53.145824 -27.754366 53.145832 -27.754360
100570 33979 53.182960 -27.754324 53.182960 -27.754324
100572 34000 53.202373 -27.754373 53.202388 -27.754363
100573 33965 53.211788 -27.754394 53.211838 -27.754401
100574 33968 53.185642 -27.754360 53.185634 -27.754356
100575 34020 53.166473 -27.754419 53.166471 -27.754427
100576 33838 53.194103 -27.754511 53.194106 -27.754508
100577 33994 53.154251 -27.754482 53.154247 -27.754470
100578 33930 53.129074 -27.754534 53.129069 -27.754542
100579 33937 53.190861 -27.754457 53.190862 -27.754459
100580 33947 53.153740 -27.754482 53.153719 -27.754482
100581 33944 53.118587 -27.754648 53.118595 -27.754655
100583 33907 53.120693 -27.754591 53.120677 -27.754600
100584 33967 53.178844 -27.754694 53.178842 -27.754689
100585 33471 53.127369 -27.755070 53.127374 -27.755074
100586 33929 53.191250 -27.754768 53.191246 -27.754772
100587 33887 53.184654 -27.754721 53.184657 -27.754722
100588 33881 53.183925 -27.754820 53.183926 -27.754819
100589 33932 53.180847 -27.754837 53.180851 -27.754820
100590 33857 53.202160 -27.754909 53.202164 -27.754915
100591 33798 53.141002 -27.755050 53.141006 -27.755050
