# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
36550 GOODS-S 53.185447 -27.872944 0.7060 0.6835 0.0125 3DHST 0.8802 0.1421 1.0956 0.0904 116.3693 111.7005
36896 GOODS-S 53.191299 -27.872109 1.0051 0.9279 0.0183 3DHST 1.1386 0.1981 1.2956 0.1138 141.8759 99.9475
37429 GOODS-S 53.150887 -27.868331 0.7789 0.7670 0.0069 3DHST 1.3600 0.1071 1.6156 0.0694 126.7395 120.9247
38350 GOODS-S 53.153101 -27.868566 0.7807 0.6904 0.0245 3DHST 1.4867 0.1309 1.2266 0.0549 510.4984 152.9917
38417 GOODS-S 53.186973 -27.869061 0.7926 0.7994 0.0255 3DHST 1.3040 0.2103 1.2069 0.0929 145.8850 145.0737
38577 GOODS-S 53.187607 -27.868807 0.7987 0.8149 0.0202 3DHST 1.2546 0.1753 1.4786 0.1147 122.2169 116.8132
38854 GOODS-S 53.178108 -27.868082 0.6618 0.6185 0.0081 3DHST 1.5241 0.1962 1.5886 0.1074 125.7939 97.2073
39116 GOODS-S 53.166565 -27.867970 0.6443 0.5610 0.0389 3DHST 0.9233 0.1629 1.9425 0.2722 134.4936 98.7526
39503 GOODS-S 53.173913 -27.865049 0.8533 0.8821 0.0236 3DHST 1.2270 0.1485 1.4451 0.0772 112.7928 101.6506
39835 GOODS-S 53.178034 -27.866458 1.1266 1.0986 0.0124 3DHST 1.1624 0.1638 1.4333 0.1007 160.4589 150.9559
40117 GOODS-S 53.181796 -27.866849 0.6988 0.6545 0.1684 3DHST 1.1769 0.2670 1.1959 0.1160 238.5505 229.2233
40163 GOODS-S 53.179131 -27.866557 0.9051 0.7971 0.0233 3DHST 0.9932 0.2325 1.2395 0.1220 224.4046 176.6100
40488 GOODS-S 53.168321 -27.865487 0.6729 0.5881 0.0106 3DHST 1.4995 0.1808 1.5188 0.1069 306.2963 122.2304
41478 GOODS-S 53.196579 -27.863206 1.1302 1.1302 0.0105 3DHST 1.2534 0.1165 1.4118 0.0754 85.7238 85.7238
42022 GOODS-S 53.193867 -27.863361 0.7082 0.6638 0.3003 3DHST 1.2521 0.3304 1.3504 0.1568 1107.4655 1020.9555
42277 GOODS-S 53.175667 -27.862315 0.8972 0.8722 0.0170 3DHST 1.3796 0.2191 1.5093 0.1210 84.2841 78.6327
42703 GOODS-S 53.136388 -27.850696 0.7301 0.7406 0.0054 3DHST 1.8451 0.1377 1.7794 0.0634 192.6420 173.2988
42894 GOODS-S 53.178791 -27.859692 0.8522 0.9753 0.0657 3DHST 1.1807 0.2242 1.4492 0.1476 96.5256 85.0943
43404 GOODS-S 53.207779 -27.858065 0.7758 0.6965 0.0202 3DHST 1.0228 0.1040 1.4593 0.0735 218.6006 102.1908
43478 GOODS-S 53.190104 -27.859178 0.8430 0.8308 0.0103 3DHST 1.1440 0.1187 1.2198 0.0545 127.5276 120.6311
43997 GOODS-S 53.161866 -27.858128 0.6444 0.6457 0.0054 3DHST 1.1991 0.2478 1.5029 0.1639 78.3678 76.2641
44047 GOODS-S 53.153420 -27.858637 1.2312 1.1874 0.0151 3DHST 1.1008 0.2371 1.1963 0.1438 118.3368 109.4879
44163 GOODS-S 53.153382 -27.857359 0.6746 0.5797 0.0132 3DHST 0.9048 0.1701 1.4631 0.1651 136.6987 82.8733
45314 GOODS-S 53.165789 -27.856155 0.6819 0.6901 0.0384 3DHST 1.3329 0.1837 1.1695 0.0890 185.2198 184.9668
45410 GOODS-S 53.195148 -27.855885 1.0798 1.0386 0.0348 3DHST 0.9409 0.1933 1.2449 0.1407 99.8360 90.6309
45462 GOODS-S 53.176780 -27.855401 0.8458 0.7635 0.0098 3DHST 0.9889 0.1308 1.0971 0.0646 426.9045 258.5982
45502 GOODS-S 53.167266 -27.856362 0.6927 0.6486 0.0151 3DHST 1.4436 0.2262 1.2753 0.1131 175.0888 122.7675
45879 GOODS-S 53.158459 -27.854919 0.6122 0.8514 0.0049 3DHST 2.0691 0.2277 3.1426 0.1660 3489.6705 683.0769
46037 GOODS-S 53.188363 -27.853537 1.2326 1.1605 0.0210 3DHST 0.9823 0.1819 1.2443 0.1292 147.9309 101.7464
46562 GOODS-S 53.164226 -27.853497 0.6617 0.5384 0.0652 3DHST 2.9908 1.0458 5.8116 1.9687 280.4261 115.7071
46603 GOODS-S 53.137145 -27.852164 0.7356 0.7438 0.0080 3DHST 1.0829 0.1592 1.5755 0.1213 97.0952 89.7408
47029 GOODS-S 53.204932 -27.851305 0.7913 0.6688 0.0696 3DHST 1.4157 0.3575 1.3310 0.1612 146.5088 95.8590
47038 GOODS-S 53.133894 -27.851542 0.6683 0.6464 0.0182 3DHST 1.1362 0.1947 1.2668 0.1036 104.0628 102.1928
47101 GOODS-S 53.206310 -27.851605 0.7809 0.5994 0.1048 3DHST 1.5626 0.1508 1.2097 0.0582 802.7288 142.7583
47324 GOODS-S 53.175354 -27.852604 0.9500 0.9587 0.0173 3DHST 1.1985 0.1329 1.1651 0.0693 218.8657 218.8445
47396 GOODS-S 53.146899 -27.851333 0.7351 0.7351 0.0139 3DHST 1.0291 0.1396 1.5471 0.1076 77.1954 77.1954
47469 GOODS-S 53.173538 -27.852422 0.9413 0.9158 0.0188 3DHST 1.0340 0.1668 1.0488 0.0944 117.3770 110.8132
47740 GOODS-S 53.161886 -27.845847 1.0943 1.1263 0.0133 3DHST 1.2297 0.1047 1.5287 0.0614 171.3270 144.3553
48890 GOODS-S 53.206965 -27.848048 0.8867 0.8617 0.0082 3DHST 1.1511 0.0958 1.2693 0.0538 221.5800 184.2617
49022 GOODS-S 53.135730 -27.848313 0.6660 0.6018 0.0122 3DHST 1.1848 0.1779 1.1974 0.0856 121.5831 84.3773
50107 GOODS-S 53.210764 -27.847465 0.7448 0.6255 0.0365 3DHST 1.0028 0.2162 1.4464 0.1601 157.3517 105.6995
51356 GOODS-S 53.156680 -27.843269 0.6313 0.5292 0.0111 3DHST 4.0761 1.1811 9.6969 2.7642 396.8189 149.4090
52204 GOODS-S 53.187297 -27.843166 0.6165 0.3774 0.0445 3DHST nan nan nan nan 168.9284 102.7742
52259 GOODS-S 53.179682 -27.843878 0.7298 0.7182 0.0148 3DHST 1.3615 0.1176 1.1638 0.0482 430.1707 429.8652
52481 GOODS-S 53.169227 -27.842715 0.8391 0.8615 0.0149 3DHST 1.2816 0.1540 1.7050 0.1103 104.7558 87.4965
52774 GOODS-S 53.159822 -27.841340 0.6128 0.5118 0.0129 3DHST nan nan nan nan 343.9825 147.9522
52945 GOODS-S 53.203373 -27.841532 0.6335 0.5507 0.0155 3DHST 1.0700 0.2140 2.2915 0.3741 139.7494 92.5597
53650 GOODS-S 53.152482 -27.841956 0.7401 0.6731 0.0176 3DHST 1.6812 0.4129 1.5125 0.1850 100.5278 68.5760
54553 GOODS-S 53.177902 -27.839194 0.7807 0.6588 0.0132 3DHST 1.4483 0.1383 1.2315 0.0600 392.4954 84.9101
54921 GOODS-S 53.214937 -27.838243 0.8201 0.7844 0.0080 3DHST 1.0816 0.0622 1.2959 0.0389 958.3641 803.7822
54922 GOODS-S 53.158032 -27.838407 1.2329 1.1333 0.0226 3DHST 0.9355 0.2439 1.2473 0.1702 123.6609 81.8342
54977 GOODS-S 53.189606 -27.838391 1.0591 1.0455 0.0117 3DHST 0.9058 0.1261 1.1556 0.0851 133.6218 128.1435
55434 GOODS-S 53.204335 -27.837635 1.1179 1.1518 0.0132 3DHST 1.2334 0.1683 1.4581 0.1025 101.0579 92.3307
56922 GOODS-S 53.218124 -27.833686 0.8485 0.7436 0.0385 3DHST 1.2406 0.0981 1.5710 0.0643 424.4648 163.2365
57014 GOODS-S 53.184564 -27.836041 1.0614 1.0343 0.0125 3DHST 1.4660 0.1761 1.5984 0.0907 107.9288 100.3046
57446 GOODS-S 53.152157 -27.835112 0.6877 0.6227 0.0061 3DHST 1.1375 0.0982 1.3165 0.0488 385.1614 164.0466
57685 GOODS-S 53.152486 -27.834321 0.7808 0.6386 0.0145 3DHST 1.3741 0.1411 1.1642 0.0615 354.2352 134.8626
58181 GOODS-S 53.168022 -27.832514 0.6748 0.6748 0.0048 3DHST 1.1149 0.0882 1.4190 0.0604 104.7412 104.7412
58222 GOODS-S 53.208757 -27.834432 0.7111 0.6996 0.0100 3DHST 1.4971 0.2529 1.5359 0.1317 78.8531 78.4036
59492 GOODS-S 53.146181 -27.832902 1.0457 0.8049 0.0971 3DHST 1.2833 0.2766 1.6189 0.1612 173.4000 129.9468
59586 GOODS-S 53.157403 -27.832064 0.8935 0.8323 0.0479 3DHST 0.9423 0.2151 1.3353 0.1514 126.4361 108.6084
59747 GOODS-S 53.215527 -27.830838 0.7284 0.6002 0.0069 3DHST 1.1993 0.0843 1.4190 0.0433 1031.6809 222.7437
60296 GOODS-S 53.160272 -27.825516 0.6604 0.6067 0.0120 3DHST 1.1620 0.1360 1.4358 0.0806 141.0541 109.7119
61172 GOODS-S 53.164745 -27.824545 0.6627 0.6675 0.0024 3DHST 1.6617 0.1084 1.5776 0.0548 192.6326 185.5807
61235 GOODS-S 53.188120 -27.827765 1.1280 1.1422 0.0147 3DHST 1.5754 0.1840 1.7695 0.1056 138.8430 133.3824
61447 GOODS-S 53.185231 -27.827841 0.9198 0.9300 0.0104 3DHST 1.2256 0.1044 1.4552 0.0650 197.8433 178.7148
62528 GOODS-S 53.189880 -27.826710 0.6956 0.7094 0.0120 3DHST 0.9745 0.0618 1.2653 0.0409 180.9391 155.0101
62788 GOODS-S 53.179058 -27.825762 0.6078 0.6131 0.0090 3DHST 1.6021 0.5421 1.6598 0.2722 83.9844 83.9670
63902 GOODS-S 53.161746 -27.824573 0.8348 0.8225 0.0061 3DHST 1.3663 0.1620 1.6313 0.0833 116.3355 109.3883
64797 GOODS-S 53.168097 -27.823211 0.6799 1.2875 0.3718 3DHST 1.2840 0.4630 1.5311 0.2533 171.8158 67.9883
65572 GOODS-S 53.155882 -27.822220 0.6685 1.3902 0.0697 3DHST nan nan nan nan nan nan
65620 GOODS-S 53.164979 -27.819329 0.9673 0.9807 0.0073 3DHST 1.7266 0.1207 1.8323 0.0584 253.4750 223.4807
65708 GOODS-S 53.161077 -27.821909 0.6686 0.5545 0.1859 3DHST 1.0352 0.4501 2.4078 0.8386 130.9453 94.6617
65825 GOODS-S 53.171733 -27.821792 0.8740 0.8740 0.0074 3DHST 1.0661 0.1282 1.1888 0.0615 221.3358 221.3358
65981 GOODS-S 53.172631 -27.821429 0.7153 0.6600 0.0173 3DHST 1.0149 0.1450 1.2233 0.0924 161.1303 107.6348
66256 GOODS-S 53.193205 -27.820214 0.6780 0.6780 0.0055 3DHST 1.5105 0.1475 1.7668 0.0857 108.4506 108.4506
66708 GOODS-S 53.161708 -27.819261 0.6662 0.5918 0.0150 3DHST 1.1855 0.1508 1.2691 0.0759 177.0544 123.9169
66729 GOODS-S 53.136332 -27.816537 0.6820 0.6069 0.0064 3DHST 1.4906 0.1015 1.3624 0.0500 477.7057 161.5174
67814 GOODS-S 53.137182 -27.815682 0.8387 0.7679 0.0085 3DHST 1.2066 0.0882 1.5354 0.0592 275.6156 132.7515
68033 GOODS-S 53.167772 -27.816705 1.1357 1.2049 0.0278 3DHST 1.1455 0.3220 1.4181 0.1927 119.5804 100.3121
68104 GOODS-S 53.191211 -27.817277 1.1398 1.0842 0.0164 3DHST 1.0104 0.1993 1.1448 0.1298 123.2204 98.0109
68675 GOODS-S 53.174511 -27.814960 0.6732 0.7197 0.0172 3DHST 1.0476 0.0676 1.1583 0.0364 738.7255 650.2140
68841 GOODS-S 53.164449 -27.815337 1.0964 1.1129 0.0261 3DHST 1.3668 0.2121 1.6725 0.1245 98.7480 93.8846
68982 GOODS-S 53.154285 -27.815934 0.8175 0.8054 0.0144 3DHST 1.1504 0.1720 1.1690 0.0973 153.6131 151.2607
69168 GOODS-S 53.173437 -27.815726 0.7096 0.4010 0.1438 3DHST nan nan nan nan 166.0336 109.9326
69419 GOODS-S 53.132376 -27.814240 0.7482 0.7626 0.0061 3DHST 1.1309 0.1101 1.7314 0.0841 155.4289 116.9914
69522 GOODS-S 53.164816 -27.814367 0.6124 0.8656 0.0054 3DHST 1.8757 0.1944 2.5555 0.1292 2770.6694 633.3499
70001 GOODS-S 53.200552 -27.812487 0.6767 0.6767 0.0051 3DHST 1.3927 0.1214 1.5774 0.0640 89.1716 89.1716
70264 GOODS-S 53.168175 -27.812932 0.9494 0.8987 0.0074 3DHST 1.0919 0.1040 1.0802 0.0556 255.7556 147.6960
70682 GOODS-S 53.179923 -27.811745 0.7386 0.7044 0.0520 3DHST 1.1193 0.3629 1.3090 0.1821 88.7775 86.0097
70878 GOODS-S 53.164309 -27.810825 0.7228 0.6671 0.0266 3DHST 1.4117 0.2226 1.3159 0.1121 103.8987 89.1214
71524 GOODS-S 53.145084 -27.809846 1.2004 1.2046 0.1293 3DHST 1.2237 0.1690 1.2092 0.0892 618.5251 618.3833
71560 GOODS-S 53.138046 -27.809661 0.6762 0.6433 0.0113 3DHST 1.1990 0.3221 1.3608 0.1809 82.2694 76.0876
71864 GOODS-S 53.150604 -27.809505 0.7578 0.5239 0.3118 3DHST 5.0171 8.9620 11.4966 20.3371 228.3322 126.9076
72048 GOODS-S 53.151041 -27.809461 1.0563 1.0029 0.0210 3DHST 1.2787 0.3311 1.4401 0.1889 100.0685 82.4762
72082 GOODS-S 53.137538 -27.808167 0.6626 0.6407 0.0094 3DHST 1.2485 0.1610 1.2899 0.0920 143.6101 132.7417
72524 GOODS-S 53.130330 -27.805615 1.1916 1.3418 0.0442 3DHST 1.2321 0.2182 0.6244 0.1118 125.2330 95.2561
72905 GOODS-S 53.180242 -27.798928 0.6625 0.7017 0.0099 3DHST 1.4812 0.0873 1.3799 0.0439 196.6003 128.3672
73333 GOODS-S 53.149846 -27.803301 0.6168 0.6168 0.0062 3DHST 1.2529 0.0809 1.4689 0.0459 64.8286 64.8286
73385 GOODS-S 53.151191 -27.805557 0.6711 0.6491 0.0160 3DHST 1.1101 0.4455 1.5556 0.3120 84.5812 83.3499
73423 GOODS-S 53.140539 -27.804566 0.6808 0.6057 0.0098 3DHST 1.0896 0.2840 1.6572 0.2144 128.8167 79.3923
73549 GOODS-S 53.161238 -27.804879 0.6939 0.5398 0.0958 3DHST 1.7605 1.6416 4.3246 3.7367 99.1661 78.2803
