# Catalog for all galaxies that now have refined redshifts. See paper/code for sample selection. 
# pearsid field ra dec old_z new_z new_z_err source dn4000 dn4000_err d4000 d4000_err old_chi2 new_chi2
90546 GOODS-S 53.154974 -27.768908 1.0920 1.1252 0.1322 CANDELS 1.6261 0.1616 1.6000 0.0848 242.4307 214.0679
90791 GOODS-S 53.114947 -27.767561 0.6340 0.6231 0.0061 CANDELS 0.9611 0.0643 1.2445 0.0430 280.6273 274.5912
91139 GOODS-S 53.158743 -27.770526 0.9810 0.9295 0.0150 CANDELS 1.2008 0.1006 1.3097 0.0545 433.1959 376.7363
93370 GOODS-S 53.113891 -27.767554 0.6180 0.6194 0.0086 CANDELS 1.3567 0.1966 1.6857 0.1219 125.1470 116.6519
93458 GOODS-S 53.139364 -27.767368 1.2130 1.1415 0.0286 CANDELS 0.8695 0.2472 1.3225 0.1903 104.4728 91.5200
93759 GOODS-S 53.159865 -27.766840 1.0300 0.9901 0.0171 CANDELS 1.2447 0.2293 1.2558 0.1242 129.7373 107.8579
93811 GOODS-S 53.146088 -27.766564 0.9300 0.8676 0.0210 CANDELS 1.0610 0.1857 1.1617 0.1126 142.3224 113.0221
93815 GOODS-S 53.181207 -27.765670 1.1620 1.1335 0.0105 CANDELS 1.1920 0.1144 1.3511 0.0723 226.5958 211.5551
93984 GOODS-S 53.106928 -27.765439 0.9890 0.9499 0.0071 CANDELS 1.0448 0.1011 1.1566 0.0569 221.3022 180.1517
93988 GOODS-S 53.151372 -27.766686 0.8920 0.8429 0.0119 CANDELS 1.2545 0.1531 1.3654 0.0918 109.0661 79.9024
94128 GOODS-S 53.135618 -27.766625 0.8970 0.8843 0.0305 CANDELS 1.1890 0.1833 1.4312 0.1150 88.3251 87.3675
94356 GOODS-S 53.155412 -27.766071 1.0550 1.1076 0.0142 CANDELS 1.1838 0.2428 1.5780 0.1523 95.3371 74.8246
95110 GOODS-S 53.109422 -27.764092 1.2020 1.2353 0.0173 CANDELS 1.5419 0.2496 1.7776 0.1628 91.8238 76.8819
