# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
127342 45762 53.040897 -27.696856 53.040878 -27.696857
128553 46003 53.040928 -27.693240 53.040924 -27.693279
110902 37971 53.040983 -27.733683 53.041004 -27.733679
124589 44539 53.041142 -27.702330 53.041145 -27.702330
119324 41288 53.041164 -27.717034 53.041168 -27.717041
119744 41790 53.041215 -27.715129 53.041206 -27.715128
120434 42107 53.041389 -27.713965 53.041374 -27.713968
129318 45896 53.041401 -27.695745 53.041397 -27.695744
128566 45418 53.041428 -27.697668 53.041431 -27.697668
119721 42070 53.041459 -27.714665 53.041462 -27.714634
119608 41556 53.041562 -27.715577 53.041565 -27.715565
112095 38429 53.041581 -27.731101 53.041599 -27.731092
120302 42149 53.041585 -27.713369 53.041637 -27.713367
115258 39847 53.041670 -27.724331 53.041672 -27.724337
130829 46692 53.041778 -27.692403 53.041782 -27.692396
113298 39170 53.041827 -27.725868 53.041824 -27.725868
120441 42108 53.041854 -27.714301 53.041859 -27.714306
128815 45677 53.042018 -27.696882 53.042007 -27.696857
119899 42095 53.042096 -27.713943 53.042072 -27.713905
109856 37574 53.042155 -27.736083 53.042156 -27.736094
114230 39631 53.042172 -27.725927 53.042168 -27.725927
112093 39241 53.042327 -27.726208 53.042328 -27.726210
108133 36705 53.042455 -27.737869 53.042458 -27.737862
111030 38160 53.042569 -27.733020 53.042564 -27.733019
115151 40624 53.042754 -27.718589 53.042755 -27.718565
114677 39764 53.042954 -27.721398 53.042953 -27.721407
123390 43062 53.042995 -27.708881 53.042995 -27.708881
115673 39853 53.043089 -27.724046 53.043087 -27.724052
110306 37648 53.043239 -27.735498 53.043240 -27.735502
112887 39706 53.043274 -27.716895 53.043266 -27.716906
113359 39325 53.043285 -27.727127 53.043289 -27.727131
121429 42144 53.043360 -27.713175 53.043385 -27.713177
120843 41950 53.043398 -27.714292 53.043404 -27.714285
121030 42290 53.043546 -27.713134 53.043545 -27.713137
124737 44224 53.043574 -27.704163 53.043556 -27.704176
121765 42525 53.043653 -27.711959 53.043667 -27.711973
124081 43519 53.043674 -27.706935 53.043659 -27.706940
114388 40829 53.043745 -27.719148 53.043755 -27.719164
113685 39162 53.044018 -27.727462 53.043995 -27.727468
119960 41962 53.044104 -27.714979 53.044102 -27.714981
113317 39048 53.044274 -27.728194 53.044285 -27.728197
114082 39384 53.044315 -27.726677 53.044312 -27.726677
119997 41692 53.044429 -27.715415 53.044430 -27.715414
117620 40605 53.044548 -27.720404 53.044548 -27.720413
