# ID  Field  RA  DEC  zspec  zphot  low_zphot_err  high_zphot_err  zg  low_zgrism_err  high_zgrism_err  zspz  low_zspz_err  high_zspz_err  NetSig  D4000  D4000_err  iABmag
62388     GOODS-N    189.1976740    62.225022    0.964    0.91    0.02    0.04    0.79    0.15    0.08    0.86    0.07    0.01    82.35     1.28    0.13    23.76
46914     GOODS-N    189.1977384    62.197467    0.912    0.92    0.04    0.01    0.90    0.06    0.01    0.90    0.04    0.01    81.89     1.24    0.11    24.04
56190     GOODS-N    189.1981062    62.214635    0.681    0.57    0.04    0.02    0.46    0.03    0.31    0.70    0.01    0.01    102.98    1.32    0.13    23.94
41630     GOODS-N    189.1987192    62.188955    1.223    1.20    0.06    0.12    1.12    0.01    0.02    1.22    0.08    0.10    111.73    1.27    0.14    23.17
52896     GOODS-N    189.1991331    62.209159    0.961    0.94    0.01    0.01    0.37    0.02    0.01    0.92    0.02    0.02    133.80    1.30    0.08    23.37
35156     GOODS-N    189.1994651    62.179304    1.223    1.21    0.05    0.04    1.23    0.02    0.01    1.21    0.05    0.04    189.96    1.33    0.08    22.62
38445     GOODS-N    189.2005634    62.183952    0.649    0.72    0.03    0.02    0.38    0.02    0.13    0.70    0.04    0.03    191.30    1.27    0.09    22.50
49261     GOODS-N    189.2010933    62.203861    0.961    0.95    0.01    0.00    0.31    0.01    1.18    0.95    0.01    0.00    170.27    1.33    0.09    22.55
76098     GOODS-N    189.2013683    62.252073    0.938    0.86    0.00    0.00    0.94    0.01    0.00    0.92    0.00    0.00    429.93    1.84    0.07    22.10
83503     GOODS-N    189.2025506    62.264620    0.852    0.84    0.00    0.00    0.85    0.00    0.00    0.84    0.00    0.00    534.24    1.61    0.05    21.62
44078     GOODS-N    189.2026831    62.194841    1.013    0.95    0.00    0.00    1.01    0.00    0.01    1.01    0.00    0.00    453.54    1.72    0.06    22.09
51003     GOODS-N    189.2044409    62.205905    0.954    0.94    0.00    0.00    0.32    0.00    0.01    0.90    0.00    0.01    242.66    1.21    0.05    22.46
45496     GOODS-N    189.2052291    62.196807    0.960    0.96    0.02    0.00    1.02    0.08    0.02    0.95    0.01    0.01    179.82    1.44    0.08    22.96
66753     GOODS-N    189.2062393    62.235220    0.752    0.83    0.01    0.06    0.74    0.27    0.01    0.83    0.03    0.03    395.31    1.31    0.05    21.87
39487     GOODS-N    189.2072622    62.185225    1.019    0.96    0.02    0.01    0.38    0.06    0.55    0.97    0.03    0.01    134.13    1.17    0.08    23.10
82267     GOODS-N    189.2077989    62.261628    0.942    0.94    0.01    0.02    0.95    0.01    0.03    0.94    0.02    0.02    175.92    1.46    0.08    22.83
37225     GOODS-N    189.2081580    62.182990    0.683    0.69    0.03    0.04    0.55    0.23    0.02    0.70    0.04    0.01    241.33    1.25    0.06    22.67
15005     GOODS-S    53.1282508    -27.915264    0.687    0.69    0.02    0.01    1.49    1.06    0.00    0.69    0.04    0.01    197.59    1.18    0.07    21.70
