# pearsid field ra dec specz specz_source specz_qual imag
47814 GOODS-N 189.239500 62.202938 0.6700 Wirth_2015 1 21.20
44286 GOODS-N 189.239528 62.193104 1.0133 Barger_K Z 23.24
95017 GOODS-N 189.239635 62.285011 0.8360 Barger_ACS Z 23.70
74987 GOODS-N 189.240780 62.248600 0.8490 Barger_K Z 22.12
48737 GOODS-N 189.241017 62.202799 0.9714 Barger_ACS Z 23.45
44746 GOODS-N 189.242031 62.193817 0.6805 Barger_UV Z 23.11
90536 GOODS-N 189.242061 62.277510 1.0173 Barger_ACS Z 22.57
103084 GOODS-N 189.242278 62.299274 0.9041 Barger_ACS Z 23.32
50196 GOODS-N 189.242933 62.203942 1.0190 Barger_K Z 23.32
51587 GOODS-N 189.244353 62.206047 0.6816 Barger_ACS Z 23.37
103139 GOODS-N 189.244737 62.299235 0.9418 Barger_K Z 22.87
70787 GOODS-N 189.245169 62.243034 0.6780 Wirth_2015 4 20.73
105095 GOODS-N 189.245545 62.302763 0.9431 Barger_K Z 23.15
47561 GOODS-N 189.245803 62.202469 0.8520 Barger_K Z 21.95
46351 GOODS-N 189.248362 62.198151 1.0209 Barger_K Z 22.85
99452 GOODS-N 189.249503 62.293273 0.6605 Barger_K Z 21.62
89573 GOODS-N 189.249618 62.274447 1.0120 Barger_K Z 23.27
85920 GOODS-N 189.250233 62.268303 1.0140 Barger_K Z 22.33
86967 GOODS-N 189.250862 62.270905 0.9134 Barger_ACS Z 22.76
99050 GOODS-N 189.251356 62.291882 0.7435 Wirth_2004 3 23.21
88211 GOODS-N 189.251723 62.271384 0.9140 Barger_K Z 22.47
86439 GOODS-N 189.251790 62.268030 0.9410 Barger_ACS Z 23.91
99189 GOODS-N 189.252152 62.292640 0.6603 Barger_K Z 22.35
98131 GOODS-N 189.254233 62.291574 0.7095 Barger_K Z 21.54
70833 GOODS-N 189.254677 62.240666 0.8988 Barger_K Z 23.34
71893 GOODS-N 189.254997 62.241894 0.8392 Barger_UV Z 23.75
107010 GOODS-N 189.255209 62.306395 0.9418 Barger_K Z 22.42
41894 GOODS-N 189.256105 62.189528 0.6439 Barger_ACS Z 23.48
41945 GOODS-N 189.256444 62.191325 0.7780 Barger_24m Z 21.50
52146 GOODS-N 189.256880 62.207194 0.9710 Barger_UV Z 24.01
51834 GOODS-N 189.257124 62.206553 1.1900 Barger_ACS Z 24.24
46765 GOODS-N 189.257967 62.197271 1.0202 Barger_ACS Z 23.87
77103 GOODS-N 189.258085 62.252898 0.9378 Barger_UV Z 22.00
78354 GOODS-N 189.258733 62.254839 0.7445 Barger_K Z 23.32
