# col1     col2         col3          col4     delta_ra                 delta_dec                col5     col6      col7      id        field     ra            dec            x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W    e_F606W    f_F814W   e_F814W    f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  127411   53.0297859   -27.6994257   22.846   7.399999972790283E-7     -9.599999977183415E-7    0.011    295.0     295.0     45190.0   GOODS-S   53.02978516   -27.69942474   15239.11   16938.49   0.4193   0.4171   3.0453        0.10326       3.1349        0.02526       4.3415     0.05019    7.0069    0.068125   9.5936    0.18812    10.243    0.34484    10.47     0.15923    1.0303    3.5           11.697    3.746     9.02          0.0          0       0            0           1          0           7            16           7            8.88    0.3   0.004184185279240337   
  119158   53.0299931   -27.7164382   25.039   -1.8600000046831155E-6   -9.439999999472093E-6    0.039    28.2      27.1      41466.0   GOODS-S   53.02999496   -27.71642876   15227.25   15918.31   -1.0     2.2975   1.2636        0.090084      1.3906        0.022542      0.98061    0.022369   1.0031    0.028193   1.5161    0.065462   1.8236    0.12908    1.9926    0.063028   1.0939    3.56          3.513     3.191     3.82          0.0          0       0            0           1          0           8            4            8            9.24    0.0   0.03449710010587106    
  125637   53.030203    -27.7038386   23.927   -1.70300000021939E-5     1.1189999998606481E-5    0.016    51.2      51.2      44182.0   GOODS-S   53.03022003   -27.70384979   15215.84   16673.06   -1.0     0.5643   6.0566        0.069764      6.2856        0.02081       0.66071    0.01805    3.331     0.027421   7.3387    0.049195   7.2959    0.083439   7.5177    0.044994   1.1306    3.5           2.785     2.677     2.21          3.47         0       0            1           0          0           10           20           10           9.59    0.0   0.06759509868266884    
  128422   53.030315    -27.6965966   24.686   1.867000000288499E-5     1.671000000058598E-5     0.044    227.0     226.0     45826.0   GOODS-S   53.03029633   -27.69661331   15212.21   17107.19   -1.0     1.0677   -99.0         -99.0         0.74776       0.031157      0.67617    0.044051   1.1841    0.059176   2.1563    0.18311    -99.0     -99.0      2.1907    0.16123    1.0429    3.76          7.412     3.723     7.51          0.0          0       0            0           1          0           4            0            4            8.99    0.1   0.08461852536795053    
  123270   53.0307125   -27.708926    25.727   1.563000000004422E-5     -1.0290000002299848E-5   0.06     22.7      19.7      43036.0   GOODS-S   53.03069687   -27.70891571   15190.36   16369.11   -1.0     0.8687   0.32641       0.093746      0.37393       0.023605      0.22691    0.020646   0.72653   0.027238   0.52584   0.065184   0.44851   0.12789    0.51013   0.055182   1.1205    3.5           3.435     2.478     3.64          0.0          0       0            2           1          0           8            4            8            7.86    0.0   0.06207912386418146    
  129355   53.0307714   -27.6949522   23.492   2.049999999087504E-6     3.6300000019195977E-6    0.015    24.6      24.5      46162.0   GOODS-S   53.03076935   -27.69495583   15187.06   17206.72   0.8611   0.837    -99.0         -99.0         3.8896        0.041585      2.349      0.023511   4.2833    0.031533   6.0139    0.12263    -99.0     -99.0      6.0672    0.12396    1.0861    3.5           4.218     3.064     4.17          0.0          0       0            0           0          1           2            0            2            9.21    0.3   0.014610694942204731   
  115946   53.0307761   -27.7227346   23.243   -4.690000004359263E-6    -2.0599999999149077E-6   0.014    49.9      47.1      40237.0   GOODS-S   53.03078079   -27.72273254   15185.26   15540.02   -1.0     0.387    2.665         0.087308      2.7597        0.022533      4.2676     0.029526   5.1331    0.044621   5.8682    0.10492    5.9679    0.19411    6.1358    0.11953    1.0411    3.72          7.398     3.968     6.23          0.0          2       0            0           1          0           8            4            8            8.25    0.3   0.016684606946134252   
  127227   53.0310801   -27.6999472   24.278   -5.8700000025169174E-6   1.3509999998717603E-5    0.03     37.7      37.1      45126.0   GOODS-S   53.03108597   -27.69996071   15170.12   16906.44   -1.0     0.7494   0.7129        0.10423       0.75318       0.024049      0.87147    0.047054   1.7073    0.063538   2.3239    0.15886    2.251     0.32675    2.3612    0.12253    1.0441    3.5           5.743     5.406     8.16          0.0          2       0            0           1          0           7            13           7            8.68    0.1   0.052110748024391605   
  128937   53.031085    -27.6965603   24.987   3.3359999996207534E-5    3.4199999987549745E-6    0.044    52.9      39.6      45799.0   GOODS-S   53.03105164   -27.69656372   15172.16   17110.25   -1.0     0.6756   -99.0         -99.0         1.2684        0.02828       0.70603    0.027118   1.1691    0.037009   1.8012    0.10459    -99.0     -99.0      2.2746    0.093228   1.0772    3.5           3.92      3.892     4.93          0.0          0       0            0           0          1           5            0            5            8.24    1.1   0.10704597815789411    
  125235   53.0311407   -27.7048602   25.865   -6.299999995462713E-6    4.300000000512227E-6     0.065    21.0      20.5      43868.0   GOODS-S   53.031147     -27.7048645    15166.7    16612.15   -1.0     0.4997   0.25072       0.091399      0.33543       0.019914      0.21005    0.02258    0.38423   0.034168   0.46713   0.062112   0.38391   0.13895    0.50994   0.05949    1.0859    4.35          3.256     2.579     4.39          0.0          0       0            2           1          0           10           4            10           7.66    0.0   0.025354093930322067   
