# All galaxies in bin:   1.1 <= D4000 < 1.3
# ID        Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zspz    iABmag
113696    GOODS-N    0.747    0.92    0.50    0.95    117.12    1.29    +0.099       +0.117      23.63
121302    GOODS-N    0.778    0.72    0.34    0.72    311.43    1.25    -0.033       -0.033      22.16
82816     GOODS-N    0.778    0.82    0.70    0.79    154.46    1.20    +0.024       +0.007      22.69
80987     GOODS-N    0.772    0.92    0.32    0.76    75.99     1.28    +0.084       -0.007      23.71
119345    GOODS-N    0.839    0.76    0.79    0.78    229.18    1.11    -0.043       -0.032      22.64
119723    GOODS-N    0.804    0.97    0.30    0.76    292.28    1.16    +0.092       -0.025      22.82
89112     GOODS-N    0.852    0.91    0.32    0.90    296.18    1.25    +0.031       +0.026      22.13
111648    GOODS-N    1.224    1.14    1.12    1.18    137.36    1.13    -0.038       -0.020      23.61
88347     GOODS-N    0.709    0.58    0.31    0.56    127.94    1.23    -0.075       -0.087      23.50
127420    GOODS-N    1.083    0.99    1.01    1.02    328.55    1.15    -0.045       -0.030      22.64
96475     GOODS-N    0.915    0.92    0.35    0.85    216.75    1.27    +0.003       -0.034      22.66
95024     GOODS-N    0.778    0.73    0.73    0.73    193.82    1.28    -0.027       -0.027      22.77
92108     GOODS-N    1.183    1.10    1.16    1.12    138.73    1.21    -0.038       -0.029      23.72
96423     GOODS-N    0.778    0.88    0.43    0.99    191.74    1.21    +0.057       +0.119      22.69
121232    GOODS-N    0.855    0.71    0.49    0.77    122.17    1.24    -0.078       -0.046      23.37
123476    GOODS-N    0.634    0.63    0.30    0.61    611.24    1.23    -0.002       -0.015      21.00
117153    GOODS-N    0.836    0.83    0.46    0.79    107.77    1.23    -0.003       -0.025      23.05
122616    GOODS-N    1.153    1.03    1.14    1.10    96.93     1.28    -0.057       -0.025      23.30
118148    GOODS-N    0.936    0.92    0.36    0.90    150.37    1.16    -0.009       -0.019      23.27
117825    GOODS-N    0.634    0.58    0.39    0.59    490.62    1.27    -0.033       -0.027      21.77
122560    GOODS-N    1.083    1.07    1.04    1.05    389.61    1.19    -0.006       -0.016      22.06
123811    GOODS-N    0.681    0.64    0.30    0.64    310.64    1.29    -0.025       -0.025      22.06
122855    GOODS-N    1.082    1.04    0.37    1.00    172.91    1.17    -0.020       -0.039      23.51
113700    GOODS-N    1.085    1.01    0.34    1.07    85.51     1.30    -0.036       -0.007      24.23
125963    GOODS-N    0.837    0.30    0.32    1.40    995.43    1.11    -0.292       +0.306      20.50
122267    GOODS-N    0.741    0.71    0.30    0.70    214.75    1.18    -0.018       -0.024      22.77
117087    GOODS-N    1.012    0.99    0.85    0.99    50.91     1.27    -0.011       -0.011      23.50
126406    GOODS-S    0.861    0.90    1.33    0.90    176.41    1.12    +0.021       +0.021      23.75
129355    GOODS-S    0.861    0.94    1.12    0.92    39.82     1.17    +0.042       +0.032      23.49
126478    GOODS-S    0.730    0.71    1.08    0.65    656.87    1.21    -0.012       -0.046      21.94
121733    GOODS-S    0.683    0.67    0.39    0.67    171.17    1.15    -0.008       -0.008      23.38
111030    GOODS-S    1.058    1.01    0.74    1.01    47.18     1.23    -0.023       -0.023      24.66
117632    GOODS-S    0.607    0.56    0.34    0.55    885.11    1.21    -0.029       -0.035      20.68
119489    GOODS-S    0.605    0.30    0.34    0.78    1689.60    1.20    -0.190       +0.109      19.88
117070    GOODS-S    0.681    0.44    0.40    0.47    89.10     1.25    -0.143       -0.126      23.42
132104    GOODS-S    0.818    0.81    0.32    0.79    188.17    1.25    -0.004       -0.015      22.80
124152    GOODS-S    0.846    0.92    0.31    0.78    120.18    1.17    +0.040       -0.036      23.64
118100    GOODS-S    0.644    0.59    0.38    0.67    159.11    1.13    -0.033       +0.016      23.16
122766    GOODS-S    0.605    0.51    0.32    0.55    128.00    1.18    -0.059       -0.034      23.01
117138    GOODS-S    0.648    0.61    0.40    0.59    581.46    1.19    -0.023       -0.035      21.18
126769    GOODS-S    0.847    0.96    0.30    0.83    233.94    1.18    +0.061       -0.009      23.00
