# These galaxies are in the GOODS-S field.
# pearsid pearsra pearsdec matchid matchra matchdec source zphot zphot_l68 zphot_u68
121907 53.038058 -27.711746 23658 53.038071 -27.711706 CANDELS 2.5710 2.5000 2.6500
115213 53.038111 -27.724678 21804 53.038109 -27.724690 CANDELS 2.3370 2.2800 2.4000
121221 53.038119 -27.713223 23598 53.038139 -27.713209 CANDELS 0.8050 0.6900 0.9200
124728 53.038257 -27.701686 25286 53.038265 -27.701685 CANDELS 0.7180 0.6700 0.7600
122863 53.038305 -27.707113 26815 53.038307 -27.707115 CANDELS 0.7100 0.6700 0.7600
125725 53.038311 -27.696648 25767 53.038315 -27.696648 CANDELS 0.3170 0.2600 0.3800
129875 53.038338 -27.694685 25591 53.038349 -27.694685 CANDELS 0.6450 0.5400 0.7500
119319 53.038381 -27.717163 22635 53.038395 -27.717150 CANDELS 3.2840 3.2000 3.3700
118087 53.038469 -27.714209 23562 53.038471 -27.714207 CANDELS 0.3610 0.3000 0.4200
120109 53.038494 -27.715461 24294 53.038486 -27.715452 CANDELS 0.1040 0.0600 0.1600
121191 53.038531 -27.713293 23798 53.038551 -27.713291 CANDELS 2.9600 2.8900 3.0000
119143 53.038683 -27.717232 22638 53.038685 -27.717234 CANDELS 3.2480 3.1600 3.3400
118826 53.038750 -27.717839 22563 53.038761 -27.717840 CANDELS 3.0070 2.9600 3.0600
114034 53.038783 -27.727334 21469 53.038811 -27.727383 CANDELS 2.8320 2.7300 2.9400
118941 53.038834 -27.715277 23952 53.038914 -27.715262 CANDELS 0.6170 0.5700 0.6600
111948 53.038838 -27.731786 20925 53.038841 -27.731789 CANDELS 3.0870 2.9700 3.2100
113606 53.038842 -27.727445 21469 53.038811 -27.727383 CANDELS 2.8320 2.7300 2.9400
117202 53.039087 -27.721122 22196 53.039093 -27.721115 CANDELS 0.4170 0.2500 0.5700
121967 53.039161 -27.710034 23188 53.039166 -27.710031 CANDELS 0.7130 0.6800 0.7500
129741 53.039229 -27.693055 25458 53.039230 -27.693070 CANDELS 0.6820 0.6300 0.7300
112617 53.039396 -27.726626 21708 53.039391 -27.726633 CANDELS 0.9810 0.9200 1.0400
123197 53.039410 -27.709353 23171 53.039425 -27.709368 CANDELS 0.2450 0.1300 0.3800
115003 53.039428 -27.725168 21730 53.039429 -27.725162 CANDELS 2.3730 2.2700 2.4900
111596 53.039458 -27.731655 21024 53.039474 -27.731653 CANDELS 0.2660 0.1900 0.3400
112457 53.039484 -27.729479 21290 53.039474 -27.729467 CANDELS 0.9440 0.8800 1.0000
