# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1 catalog.
# figs_id threed_north_idv41 figs_ra figs_dec threed_ra threed_dec
300233 35353 189.243362 62.327332 189.243393 62.327312
300236 35352 189.151657 62.327267 189.151642 62.327274
300237 35257 189.175568 62.327122 189.175568 62.327122
300238 35322 189.222397 62.327244 189.222427 62.327248
300239 35311 189.223175 62.327206 189.223175 62.327209
300240 35241 189.235306 62.327133 189.235321 62.327133
300241 35323 189.247574 62.327164 189.247559 62.327160
300242 35307 189.200455 62.327156 189.200470 62.327156
300243 35317 189.156235 62.327110 189.156204 62.327110
300244 35300 189.238388 62.327137 189.238373 62.327129
300245 35327 189.115250 62.327057 189.115234 62.327065
300246 35278 189.187836 62.327080 189.187836 62.327087
300247 35328 189.250748 62.327084 189.250732 62.327087
300250 35207 189.249832 62.326984 189.249832 62.326984
300253 35325 189.152908 62.327045 189.152924 62.327053
300254 35321 189.116837 62.326973 189.116837 62.326992
300255 35314 189.173492 62.326992 189.173508 62.327007
300260 35302 189.232544 62.326927 189.232544 62.326931
300262 35236 189.235397 62.326809 189.235382 62.326813
300263 35294 189.215134 62.326843 189.215134 62.326847
300266 35258 189.144608 62.326698 189.144638 62.326691
300267 35209 189.216644 62.326618 189.216644 62.326622
300268 35260 189.208130 62.326645 189.208130 62.326645
300269 35262 189.128906 62.326580 189.128891 62.326580
300271 35271 189.117233 62.326553 189.117218 62.326557
300272 35267 189.254059 62.326569 189.254059 62.326569
300273 35198 189.253922 62.326408 189.253922 62.326408
300276 35145 189.217545 62.326359 189.217545 62.326363
300278 35251 189.254654 62.326458 189.254654 62.326450
300279 35242 189.142639 62.326363 189.142609 62.326359
300280 35175 189.214935 62.326347 189.214951 62.326344
300281 35166 189.248428 62.326302 189.248413 62.326298
300282 35233 189.208481 62.326317 189.208466 62.326321
300283 35227 189.119476 62.326233 189.119461 62.326244
300286 34999 189.249268 62.326153 189.249283 62.326164
300288 35224 189.146210 62.326237 189.146179 62.326241
300289 35220 189.135025 62.326214 189.135025 62.326214
300290 35210 189.127304 62.326153 189.127289 62.326153
300293 35135 189.250336 62.326057 189.250320 62.326057
300295 34823 189.130798 62.325619 189.130783 62.325623
300296 35068 189.154724 62.325916 189.154724 62.325924
300297 35196 189.137466 62.325939 189.137451 62.325928
300301 35189 189.185608 62.325901 189.185593 62.325901
300302 35180 189.111649 62.325806 189.111649 62.325806
300304 35137 189.205078 62.325787 189.205078 62.325783
300307 35174 189.251480 62.325790 189.251495 62.325790
300309 35168 189.123489 62.325722 189.123474 62.325722
300311 35102 189.227936 62.325684 189.227966 62.325684
300312 35084 189.244888 62.325672 189.244888 62.325668
300314 35160 189.185791 62.325680 189.185791 62.325684
300315 35162 189.189651 62.325687 189.189651 62.325687
300316 34867 189.232864 62.325439 189.232864 62.325439
300318 35155 189.168671 62.325611 189.168716 62.325626
300319 35118 189.207092 62.325573 189.207077 62.325584
300320 35113 189.145721 62.325550 189.145737 62.325554
300322 35126 189.114777 62.325470 189.114746 62.325478
300323 35142 189.166443 62.325539 189.166428 62.325542
300324 35091 189.109161 62.325443 189.109146 62.325443
300325 35138 189.176392 62.325516 189.176376 62.325527
300326 35128 189.170731 62.325489 189.170731 62.325485
300329 35039 189.219025 62.325329 189.219025 62.325336
300330 34484 189.141434 62.324551 189.141434 62.324543
300331 35075 189.257156 62.325264 189.257156 62.325260
300332 35110 189.133255 62.325256 189.133255 62.325260
300333 35031 189.128540 62.325100 189.128586 62.325092
300334 34897 189.187637 62.325039 189.187607 62.325027
300335 35081 189.171448 62.325264 189.171478 62.325264
300336 35065 189.179062 62.325191 189.179062 62.325195
300337 35106 189.163574 62.325249 189.163559 62.325249
300338 35050 189.136139 62.325096 189.136124 62.325100
300339 35098 189.183380 62.325237 189.183365 62.325237
300340 35101 189.239594 62.325241 189.239594 62.325245
300342 35017 189.252014 62.325138 189.252014 62.325150
300343 35096 189.142944 62.325150 189.142929 62.325153
300346 35074 189.183167 62.325005 189.183166 62.325008
300347 35052 189.188889 62.324928 189.188889 62.324928
300348 35216 189.211044 62.326157 189.211044 62.326160
300349 35020 189.171265 62.324810 189.171265 62.324818
300350 34991 189.176117 62.324730 189.176117 62.324730
300351 35011 189.237762 62.324806 189.237762 62.324799
300352 35021 189.226593 62.324776 189.226547 62.324757
300353 35059 189.180161 62.324799 189.180191 62.324799
300354 34809 189.230988 62.324562 189.231003 62.324566
300355 35043 189.233337 62.324768 189.233322 62.324772
300357 35053 189.239685 62.324726 189.239655 62.324730
300358 34358 189.144318 62.323902 189.144272 62.323906
300359 35035 189.147964 62.324642 189.147949 62.324638
300360 34911 189.261765 62.324532 189.261780 62.324554
300361 35046 189.255692 62.324673 189.255692 62.324677
300362 35028 189.223480 62.324650 189.223495 62.324650
300363 35030 189.254242 62.324615 189.254272 62.324619
300364 35041 189.252457 62.324615 189.252457 62.324619
300365 35032 189.123657 62.324539 189.123657 62.324539
300366 34994 189.204041 62.324493 189.204041 62.324490
300368 35024 189.181137 62.324501 189.181137 62.324509
300370 35023 189.172180 62.324493 189.172180 62.324497
300371 35004 189.110474 62.324368 189.110458 62.324364
300372 35009 189.184448 62.324429 189.184463 62.324436
300374 35003 189.178101 62.324310 189.178101 62.324314
300375 35001 189.180618 62.324284 189.180634 62.324287
300376 34952 189.257309 62.324272 189.257324 62.324314
300377 34990 189.233490 62.324203 189.233475 62.324207
300378 34937 189.211411 62.324127 189.211411 62.324120
300379 34982 189.136398 62.324100 189.136383 62.324104
300380 34955 189.172897 62.324108 189.172867 62.324127
300381 34973 189.116150 62.323963 189.116135 62.323959
300382 34961 189.248901 62.323994 189.248901 62.323994
300383 34958 189.192200 62.323948 189.192184 62.323956
300384 34914 189.103409 62.323742 189.103333 62.323727
300385 34903 189.225784 62.323883 189.225800 62.323887
300386 34694 189.147858 62.323643 189.147842 62.323647
300387 34894 189.174042 62.323826 189.174026 62.323830
300388 34957 189.198624 62.323921 189.198639 62.323921
300389 34802 189.209625 62.323730 189.209641 62.323730
300390 34940 189.129028 62.323769 189.129028 62.323765
300391 34948 189.223740 62.323833 189.223740 62.323830
300392 34901 189.113785 62.323692 189.113770 62.323696
300393 34944 189.239014 62.323814 189.238998 62.323818
300394 34800 189.179337 62.323578 189.179337 62.323582
300395 34753 189.188995 62.323597 189.188995 62.323597
300396 34747 189.189484 62.323334 189.189499 62.323345
300397 34782 189.183121 62.323502 189.183105 62.323505
300398 34934 189.099960 62.323643 189.099976 62.323654
300399 34936 189.192474 62.323704 189.192474 62.323708
300400 34930 189.106216 62.323631 189.106140 62.323647
300401 34923 189.114624 62.323616 189.114594 62.323624
300402 34810 189.136475 62.323475 189.136459 62.323479
300404 34908 189.256638 62.323647 189.256653 62.323666
300405 34920 189.178375 62.323635 189.178375 62.323631
300406 34907 189.205414 62.323616 189.205429 62.323620
300407 34888 189.237595 62.323597 189.237579 62.323597
300408 34854 189.151093 62.323475 189.151108 62.323475
300409 34909 189.242188 62.323570 189.242203 62.323570
300410 34779 189.258850 62.323391 189.258789 62.323395
300413 34874 189.261963 62.323414 189.261948 62.323410
300415 34893 189.121811 62.323387 189.121811 62.323391
300416 34886 189.102951 62.323322 189.102921 62.323318
300417 34879 189.174149 62.323360 189.174149 62.323360
300418 34880 189.141571 62.323322 189.141571 62.323330
300421 34873 189.172302 62.323273 189.172302 62.323277
300422 34851 189.214310 62.323238 189.214325 62.323238
300423 34869 189.102081 62.323212 189.102036 62.323208
300424 34864 189.212769 62.323250 189.212799 62.323261
300425 34870 189.171921 62.323250 189.171936 62.323257
300426 34862 189.238373 62.323250 189.238403 62.323238
300427 34835 189.199509 62.323196 189.199493 62.323200
300428 34757 189.145355 62.323185 189.145401 62.323200
300430 34718 189.165741 62.322975 189.165741 62.322956
300431 34819 189.211655 62.323044 189.211655 62.323044
300433 34833 189.168411 62.323017 189.168411 62.323021
300436 34843 189.132080 62.322941 189.132065 62.322937
300437 34731 189.121460 62.322716 189.121429 62.322666
300438 34799 189.190811 62.322899 189.190872 62.322868
300439 34842 189.182877 62.322857 189.182892 62.322861
300441 34832 189.120880 62.322731 189.120880 62.322723
300442 34798 189.236633 62.322777 189.236633 62.322777
300443 34837 189.167587 62.322800 189.167587 62.322807
300444 34840 189.222473 62.322830 189.222443 62.322830
300446 34795 189.203888 62.322727 189.203888 62.322739
300449 34822 189.189102 62.322708 189.189117 62.322712
300450 34817 189.134171 62.322670 189.134201 62.322636
300451 34633 189.205612 62.322521 189.205612 62.322525
300452 34816 189.151886 62.322639 189.151886 62.322643
300453 34797 189.178101 62.322594 189.178116 62.322594
300454 34804 189.143784 62.322556 189.143768 62.322559
300455 34807 189.187256 62.322578 189.187271 62.322582
300456 34796 189.152420 62.322517 189.152374 62.322517
300458 34780 189.139328 62.322384 189.139313 62.322384
300459 34733 189.139313 62.322250 189.139328 62.322239
300460 34682 189.245255 62.322334 189.245255 62.322330
300461 34726 189.245712 62.322361 189.245697 62.322361
300462 34641 189.138397 62.322227 189.138382 62.322224
300463 34781 189.163528 62.322392 189.163513 62.322395
300464 34736 189.240448 62.322353 189.240448 62.322357
300465 34775 189.095215 62.322308 189.095245 62.322300
300467 34768 189.102386 62.322247 189.102371 62.322243
300468 34770 189.131424 62.322266 189.131424 62.322258
300469 34710 189.225693 62.322212 189.225708 62.322224
300470 34766 189.220352 62.322266 189.220352 62.322269
300471 34664 189.106598 62.322037 189.106567 62.321999
300474 34704 189.198090 62.321930 189.198090 62.321930
300475 34723 189.259338 62.321945 189.259338 62.321945
300476 34685 189.155045 62.321865 189.155045 62.321873
300478 34714 189.169098 62.321903 189.169098 62.321907
300479 34707 189.135666 62.321846 189.135651 62.321850
300480 34691 189.232315 62.321846 189.232361 62.321877
300481 34548 189.218475 62.321793 189.218521 62.321751
300482 34705 189.142776 62.321796 189.142746 62.321804
300483 34673 189.258957 62.321774 189.258957 62.321766
300484 34620 189.165771 62.321674 189.165756 62.321671
300485 34625 189.140991 62.321693 189.141067 62.321655
300487 34504 189.204132 62.321537 189.204132 62.321541
300488 34696 189.209702 62.321697 189.209702 62.321705
300489 34658 189.208344 62.321625 189.208344 62.321625
300490 34677 189.223129 62.321686 189.223129 62.321690
300491 34157 189.206818 62.321198 189.206833 62.321198
300493 34684 189.188217 62.321640 189.188217 62.321648
300494 34608 189.168945 62.321514 189.168961 62.321518
300495 34659 189.098938 62.321484 189.098907 62.321487
300496 34644 189.218964 62.321514 189.218964 62.321518
300497 34623 189.162064 62.321457 189.162064 62.321465
300499 34671 189.156128 62.321507 189.156128 62.321506
300501 34560 189.155548 62.321339 189.155548 62.321342
300502 34660 189.142273 62.321407 189.142258 62.321411
300503 34631 189.177689 62.321388 189.177689 62.321392
300504 34649 189.147766 62.321331 189.147751 62.321335
300505 34627 189.257828 62.321301 189.257828 62.321297
300507 34597 189.195038 62.321255 189.195038 62.321262
300508 34635 189.124115 62.321228 189.124115 62.321228
300509 34639 189.147278 62.321251 189.147308 62.321255
300510 34593 189.168472 62.321198 189.168488 62.321198
300511 34598 189.168640 62.321045 189.168640 62.321049
300512 34636 189.165421 62.321247 189.165436 62.321247
300513 34529 189.245728 62.321114 189.245728 62.321117
300514 34587 189.097168 62.321098 189.097168 62.321098
300515 34621 189.109772 62.321098 189.109756 62.321102
300516 34624 189.154114 62.321136 189.154129 62.321140
300518 34444 189.121521 62.320751 189.121506 62.320744
300519 34461 189.178040 62.320915 189.178040 62.320919
300520 34611 189.171097 62.321056 189.171112 62.321056
300521 34569 189.176254 62.321026 189.176270 62.321033
300522 34613 189.106171 62.321018 189.106094 62.321033
300523 34527 189.172989 62.320938 189.172989 62.320942
300524 34570 189.246750 62.320965 189.246750 62.320969
300525 34564 189.137390 62.320866 189.137375 62.320869
300526 34539 189.215805 62.320843 189.215851 62.320831
300527 34575 189.251236 62.320824 189.251236 62.320824
300529 34545 189.192505 62.320663 189.192505 62.320663
300530 34559 189.261795 62.320679 189.261780 62.320671
300531 34470 189.260254 62.320503 189.260239 62.320499
300532 34542 189.097229 62.320511 189.097229 62.320518
300533 34528 189.190491 62.320526 189.190506 62.320534
300534 34537 189.142288 62.320503 189.142288 62.320499
300535 34506 189.173615 62.320431 189.173615 62.320427
300536 34398 189.173447 62.320194 189.173431 62.320198
300537 34502 189.127197 62.320366 189.127213 62.320366
300538 34492 189.169678 62.320393 189.169662 62.320396
300540 34524 189.141495 62.320393 189.141449 62.320400
300542 34517 189.129700 62.320366 189.129684 62.320362
300543 34516 189.150742 62.320366 189.150726 62.320370
300544 34514 189.195633 62.320370 189.195633 62.320374
300545 34511 189.161591 62.320328 189.161606 62.320339
300546 34505 189.251236 62.320293 189.251236 62.320293
300547 34407 189.171982 62.320107 189.171982 62.320110
300548 34499 189.142914 62.320179 189.142914 62.320175
300549 34393 189.153748 62.319977 189.153748 62.319981
300550 34283 189.166138 62.319862 189.166138 62.319859
300551 34490 189.187225 62.320087 189.187241 62.320091
300552 34304 189.104126 62.319836 189.104111 62.319828
300553 34475 189.110657 62.319981 189.110657 62.319984
300554 34469 189.160202 62.320015 189.160202 62.320019
300555 34488 189.221176 62.320045 189.221176 62.320042
300556 34487 189.094986 62.319969 189.094971 62.319977
300557 34436 189.206116 62.319927 189.206131 62.319927
300558 34481 189.208725 62.319988 189.208755 62.319992
300559 34406 189.184982 62.319889 189.184998 62.319901
300560 34455 189.201340 62.319916 189.201324 62.319912
