# col1    col2          col3         col4     delta_ra                 delta_dec                col5     col6     col7     correct_dec          id        field     ra             dec           x          y          z_spec   z_peak   faper_F140W   eaper_F140W   faper_F160W   eaper_F160W   f_F606W   e_F606W    f_F814W   e_F814W   f_F125W   e_F125W    f_F140W   e_F140W    f_F160W   e_F160W    tot_cor   kron_radius   a_image   b_image   flux_radius   fwhm_image   flags   f140w_flag   star_flag   use_phot   near_star   nexp_f125w   nexp_f140w   nexp_f160w   lmass   Av    Separation             
  45924   189.115866    62.1970311   24.375   -2.4499999994986865E-5   -1.4418888895306736E-5   0.025    34.0     29.8     62.19694221111111    11063.0   GOODS-N   189.1158905    62.19695663   13495.58   7746.28    -1.0     1.1898   2.5219        0.050478      2.8203        0.059929      1.4157    0.030741   -99.0     -99.0     4.2611    0.090147   4.8676    0.096188   5.3742    0.17831    1.0796    3.5           5.389     2.806     5.19          0.0          0       0            0           1          0           2            6            2            9.55    0.7   0.0662336415922103     
  52625   189.1159829   62.2076831   25.882   1.6100000010510485E-5    1.3641111110018755E-5    0.064    24.9     24.4     62.20759421111111    13168.0   GOODS-N   189.1159668    62.20758057   13491.93   8383.86    -1.0     0.7803   0.318         0.050903      0.38109       0.044996      0.21542   0.020067   -99.0     -99.0     0.44029   0.040375   0.40934   0.06469    0.48431   0.10114    1.1201    4.73          2.603     1.872     3.33          0.0          0       0            2           1          0           4            6            4            7.88    0.0   0.056053057076649655   
  70857   189.1161525   62.247046    21.326   -1.2660000010100703E-5   -1.4018888890632297E-5   0.0050   397.0    397.0    62.24695711111111    20754.0   GOODS-N   189.11616516   62.24697113   13482.52   10747.28   0.6802   0.7193   36.812        0.06123       45.18         0.025325      5.8607    0.038682   -99.0     -99.0     84.5      0.054117   103.91    0.17063    125.9     0.241      1.0       3.5           13.656    8.788     8.76          7.76         0       0            0           1          0           12           5            12           10.82   1.3   0.05474882733257052    
  58108   189.116173    62.2174899   25.552   -7.4200000028668E-6      -2.398888895527307E-6    0.058    13.6     13.2     62.21740101111111    15270.0   GOODS-N   189.11618042   62.21740341   13485.17   8973.17    -1.0     0.5049   0.62417       0.050508      0.65706       0.03144       0.37031   0.025124   -99.0     -99.0     0.98486   0.03972    1.0858    0.086744   1.1285    0.079084   1.1003    3.69          4.535     2.195     4.61          0.0          0       0            0           1          0           8            6            8            8.13    0.2   0.015152771036472418   
  55542   189.1163394   62.2139967   25.837   2.1649999979445056E-5    2.918111110972177E-5     0.091    17.4     15.3     62.21390781111111    14565.0   GOODS-N   189.11631775   62.21387863   13481.46   8761.67    -1.0     0.7712   0.18048       0.050478      0.19197       0.032285      0.2909    0.029221   -99.0     -99.0     0.47868   0.047963   0.38122   0.10526    0.40032   0.09036    1.0855    5.5           3.569     1.535     5.65          0.0          0       0            2           1          0           8            6            8            7.79    0.4   0.111157737972585      
  76260   189.1163621   62.2491891   25.716   -1.6679999987445626E-5   4.811111153912861E-7     0.054    19.8     17.7     62.24910021111111    21687.0   GOODS-N   189.11637878   62.24909973   13476.23   10874.94   -1.0     3.7497   0.60413       0.053457      0.69718       0.025325      0.20566   0.018273   -99.0     -99.0     0.66419   0.024908   0.79703   0.069628   0.90808   0.051634   1.1349    3.5           2.872     2.575     3.09          0.0          0       0            2           1          0           12           5            12           10.06   0.8   0.028013648909984822   
  76744   189.1163964   62.2505196   25.323   -2.8159999999388674E-5   7.28111110959162E-6      0.052    28.9     26.0     62.25043071111111    21977.0   GOODS-N   189.11642456   62.25042343   13474.92   10954.22   -1.0     2.2404   0.76607       0.054449      0.89562       0.025325      0.64126   0.01977    -99.0     -99.0     0.98548   0.028161   1.1427    0.080182   1.3189    0.061097   1.1075    3.5           3.787     2.695     3.79          0.0          0       0            0           1          0           12           5            12           9.13    0.1   0.05399118082591253    
  57532   189.1164857   62.2165881   25.439   9.999999406318238E-8     -7.74888888344094E-6     0.058    12.4     12.4     62.21649921111111    15133.0   GOODS-N   189.1164856    62.21650696   13476.59   8919.33    -1.0     1.1693   0.83726       0.051152      1.0371        0.032173      0.40265   0.027887   -99.0     -99.0     1.5703    0.041502   1.5376    0.09274    1.8803    0.12838    1.0555    4.76          5.468     2.536     4.87          0.0          0       0            0           1          0           8            6            8            8.94    0.2   0.027896504677823626   
  77197   189.1165932   62.2522627   22.095   7.900000014160469E-7     -5.688888862209751E-7    0.0070   340.0    240.0    62.25217381111111    22490.0   GOODS-N   189.11659241   62.25217438   13469.8    11059.36   0.68     0.4274   10.461        0.055128      11.463        0.025325      8.1797    0.03467    -99.0     -99.0     24.684    0.049387   27.365    0.14237    29.602    0.13646    1.031     3.5           7.556     5.833     7.05          0.0          3       0            0           1          0           12           5            12           9.7     1.1   0.00243876551728158    
  76554   189.1171651   62.2520177   22.492   8.119999989730786E-6     -1.4288888863234206E-6   0.0090   306.0    107.0    62.251928811111114   22378.0   GOODS-N   189.11715698   62.25193024   13454.13   11044.75   0.4403   0.6652   6.1322        0.055129      6.6951        0.025325      3.3591    0.047488   -99.0     -99.0     19.56     0.068882   21.971    0.19501    23.682    0.15398    1.0224    3.5           8.722     6.271     9.18          0.0          3       0            0           1          0           12           5            12           9.77    0.2   0.014549642119113039   
  71114   189.1175622   62.2425571   21.262   8.489999999028441E-6     -5.388888887125631E-6    0.0040   469.0    465.0    62.24246821111111    20355.0   GOODS-N   189.11755371   62.2424736    13443.97   10477.33   0.2428   0.2492   21.493        0.055718      23.451        0.026383      17.566    0.035268   -99.0     -99.0     50.155    0.04812    54.671    0.13992    58.894    0.1467     1.0288    3.5           9.288     5.019     7.04          11.59        0       0            0           1          0           12           5            11           9.21    0.8   0.02406208091921417    
  51337   189.1176797   62.2105413   21.497   -1.134000001457025E-5    3.191111112244016E-6     0.0050   748.0    745.0    62.21045241111111    13685.0   GOODS-N   189.11769104   62.21044922   13443.6    8555.81    0.5176   0.466    21.656        0.050478      24.441        0.032912      12.787    0.032785   -99.0     -99.0     44.788    0.053319   50.58     0.11639    56.359    0.19644    1.0238    3.5           7.501     7.054     6.49          9.49         0       0            0           1          0           8            6            8            9.68    1.5   0.022231421985490975   
  73139   189.1184963   62.2439291   24.973   -3.4599999878537346E-6   -1.0498888883603286E-5   0.037    24.1     20.5     62.24384021111111    20747.0   GOODS-N   189.11849976   62.24385071   13417.61   10559.75   -1.0     1.0867   1.3196        0.057222      1.3182        0.026317      0.75972   0.025187   -99.0     -99.0     2.2841    0.034868   2.4071    0.10305    2.3739    0.089328   1.0699    3.83          4.391     3.639     4.9           0.0          0       0            0           1          0           12           5            11           9.02    0.1   0.03823856437648488    
  49243   189.1185393   62.2052145   24.966   3.954000001726854E-5     1.6971111108432524E-5    0.043    110.0    110.0    62.20512561111111    12713.0   GOODS-N   189.11849976   62.20510864   13421.39   8235.33    -1.0     1.0168   0.83593       0.05577       0.7601        0.037859      0.60097   0.037056   -99.0     -99.0     1.7516    0.066219   1.9558    0.12882    1.7557    0.1407     1.0626    4.12          4.431     3.668     6.17          0.0          0       0            0           1          0           6            5            6            8.9     0.1   0.0902136746513467     
  73181   189.1186523   62.2434995   25.588   -4.000000330961484E-8    -9.038888890700036E-6    0.045    168.0    20.3     62.24341061111111    20579.0   GOODS-N   189.11865234   62.24341965   13413.55   10533.97   -1.0     1.5568   1.1121        0.056773      1.1505        0.028081      0.55553   0.017866   -99.0     -99.0     1.4349    0.026858   1.445     0.072827   1.4759    0.061773   1.1237    3.83          2.889     2.468     2.89          0.0          0       0            0           1          0           10           5            11           8.99    0.1   0.03254006912487964    
  81868   189.1188676   62.2596414   25.137   1.6299999856528302E-6    -7.118888888157926E-6    0.036    20.9     20.7     62.25955251111111    23907.0   GOODS-N   189.11886597   62.25955963   13405.94   11502.29   -1.0     0.5692   0.99282       0.053726      1.0876        0.025452      0.55567   0.019316   -99.0     -99.0     1.3994    0.026324   1.3665    0.073007   1.4779    0.053569   1.1305    3.5           2.929     2.68      3.23          0.0          0       0            0           1          0           12           5            12           8.31    0.0   0.025773139342967415   
  71982   189.1189884   62.2422668   24.46    -1.4899999996487168E-5   1.711111111291075E-5     0.028    38.9     38.7     62.24217791111111    20425.0   GOODS-N   189.1190033    62.2421608    13403.67   10458.47   -1.0     0.6179   1.4834        0.055459      1.5212        0.027733      0.92751   0.026527   -99.0     -99.0     2.5935    0.040138   2.8266    0.10433    2.8616    0.097085   1.0676    4.2           5.104     2.751     5.1           0.0          0       0            0           1          0           10           5            10           8.68    0.2   0.06647302347474486    
  89341   189.1190829   62.2728347   25.938   4.909000000452579E-5     3.3101111107214365E-5    0.104    20.8     19.6     62.27274581111111    26721.0   GOODS-N   189.11903381   62.27271271   13399.53   12291.4    -1.0     0.7973   0.26347       0.05083       0.41396       0.025444      0.11547   0.036509   -99.0     -99.0     0.79613   0.049331   0.67633   0.12882    1.0491    0.1113     1.0461    5.7           3.595     3.184     6.81          0.0          3       0            0           1          0           11           6            11           8.53    1.0   0.14477815880690836    
  48914   189.119185    62.2011382   25.136   -1.4000000021496817E-6   -8.118888885633169E-6    0.04     34.3     34.0     62.20104931111111    11903.0   GOODS-N   189.1191864    62.20105743   13402.65   7992.22    -1.0     1.2075   1.2474        0.050478      1.3642        0.044207      0.85794   0.029868   -99.0     -99.0     2.1255    0.060423   2.3355    0.093302   2.5215    0.14391    1.0728    4.09          3.892     3.342     5.06          0.0          0       0            0           1          0           4            11           4            9.15    0.2   0.029322361178071098   
  78000   189.1192263   62.2524686   25.333   -3.6399999999048305E-5   -6.588888865621811E-7    0.045    33.5     33.2     62.25237971111111    22423.0   GOODS-N   189.1192627    62.25238037   13395.57   11071.68   -1.0     1.3407   0.96707       0.054687      0.8782        0.025325      0.65255   0.019476   -99.0     -99.0     1.1099    0.027743   1.4211    0.079336   1.274     0.067316   1.0919    3.93          3.913     2.491     4.09          0.0          0       0            0           1          0           14           5            14           8.61    0.2   0.06105540286337787    
  53083   189.1193844   62.2084874   24.599   -3.700000092976552E-7    5.4111111111865284E-6    0.026    102.0    91.2     62.20839851111111    13379.0   GOODS-N   189.11938477   62.2083931    13396.34   8432.4     -1.0     0.276    1.5852        0.051782      1.6382        0.036957      1.1698    0.019776   -99.0     -99.0     1.8965    0.03425    1.9964    0.064382   2.0368    0.072259   1.1402    3.5           2.646     2.586     2.78          0.0          0       0            0           1          0           6            6            6            7.78    0.0   0.019489897610184697   
  52950   189.1194629   62.2082007   25.758   -1.3419999987718256E-5   1.2441111110206293E-5    0.058    57.0     32.1     62.20811181111111    13311.0   GOODS-N   189.11947632   62.20809937   13394.02   8414.73    -1.0     4.1409   0.2937        0.055202      0.37267       0.036661      0.24336   0.022574   -99.0     -99.0     0.609     0.038571   0.41824   0.077607   0.52393   0.090188   1.1041    4.39          3.184     2.116     4.07          0.0          0       0            2           1          0           6            5            6            9.52    0.1   0.050133688875494756   
  73509   189.1195076   62.2442524   25.563   1.6020000003891255E-5    -1.1448888891152365E-5   0.063    19.4     10.5     62.24416351111111    20740.0   GOODS-N   189.11949158   62.24417496   13389.88   10579.27   -1.0     0.8842   0.45678       0.05685       0.42924       0.025325      0.41261   0.032463   -99.0     -99.0     0.99234   0.043871   1.0493    0.12893    0.97349   0.1011     1.0555    4.41          5.043     3.206     6.16          0.0          0       0            2           1          0           12           9            12           8.33    0.6   0.04919468437916099    
