# Catalog for all galaxies that matched between 3DHST and PEARS in GOODS-N. 
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
44678 GOODS-N 1.0371 3DHST 189.180357 62.193168 1.4001 0.7862 1.8211 0.5856
44746 GOODS-N 0.6945 3DHST 189.242031 62.193817 0.8009 0.0801 0.9550 0.0500
44756 GOODS-N 0.9905 3DHST 189.202412 62.194457 1.4469 0.2372 2.0661 0.1665
44805 GOODS-N 0.9841 3DHST 189.192287 62.195841 1.6947 0.6254 2.0552 0.3875
44835 GOODS-N 1.0942 3DHST 189.178870 62.193691 0.8990 0.4155 1.0686 0.2568
45026 GOODS-N 0.9729 3DHST 189.179994 62.196666 1.0502 0.1119 1.6641 0.0772
45117 GOODS-N 0.9715 3DHST 189.185414 62.195487 1.1684 0.2384 1.3499 0.1381
45118 GOODS-N 0.7450 3DHST 189.226263 62.194273 0.9102 0.2383 1.3571 0.1641
45150 GOODS-N 0.9241 3DHST 189.162244 62.195516 0.7858 0.3070 1.4526 0.2665
45163 GOODS-N 0.8864 3DHST 189.191554 62.193884 0.9040 1.0480 1.9674 1.7048
45328 GOODS-N 0.9724 3DHST 189.219018 62.195197 1.0791 0.2304 1.3248 0.1449
45451 GOODS-N 0.8283 3DHST 189.159565 62.197454 1.2601 0.1010 1.4304 0.0636
45496 GOODS-N 0.9872 3DHST 189.205229 62.196807 1.2105 0.1273 1.5615 0.0874
45556 GOODS-N 0.9708 3DHST 189.231813 62.194821 1.0703 0.4665 1.2032 0.2552
45958 GOODS-N 0.9768 3DHST 189.167239 62.196253 1.4423 0.2828 1.9607 0.2057
46024 GOODS-N 1.1698 3DHST 189.261064 62.195640 1.4107 0.9618 1.0740 0.5507
46034 GOODS-N 0.8030 3DHST 189.259287 62.196053 0.9681 0.3381 1.2186 0.2010
46188 GOODS-N 0.8689 3DHST 189.177395 62.196123 0.8490 0.4365 1.0167 0.3044
46623 GOODS-N 0.9379 3DHST 189.222237 62.197179 1.1731 0.3583 1.2408 0.1846
46626 GOODS-N 0.9538 3DHST 189.205638 62.197392 0.9979 0.3084 1.2263 0.1709
46694 GOODS-N 0.9565 3DHST 189.177263 62.197220 1.8819 0.8173 1.1462 0.2506
46765 GOODS-N 1.0346 3DHST 189.257967 62.197271 0.9893 0.1795 1.1342 0.1049
46766 GOODS-N 1.0236 3DHST 189.188918 62.198477 1.4002 0.1833 1.6758 0.1128
46914 GOODS-N 0.9234 3DHST 189.197738 62.197467 0.9103 0.1536 1.3167 0.1213
47065 GOODS-N 0.8517 3DHST 189.153336 62.203663 1.2032 0.0677 1.4142 0.0432
47115 GOODS-N 1.1059 3DHST 189.123579 62.200005 0.7695 0.1417 1.0507 0.0948
47153 GOODS-N 0.6185 3DHST 189.236011 62.212646 1.1061 0.0647 1.1983 0.0341
47252 GOODS-N 0.9583 3DHST 189.205633 62.198629 1.0365 0.1025 1.0480 0.0533
47284 GOODS-N 1.1854 3DHST 189.190290 62.198322 1.1761 0.5110 1.3645 0.2525
47355 GOODS-N 0.8037 3DHST 189.154232 62.199884 1.1419 0.0945 1.2580 0.0443
47425 GOODS-N 0.6411 3DHST 189.113465 62.198176 0.9186 1.0520 1.3289 0.6376
47440 GOODS-N 0.9465 3DHST 189.234502 62.198842 1.1577 0.3237 1.3619 0.1802
47518 GOODS-N 0.7394 3DHST 189.138051 62.198374 1.2403 0.4404 1.1370 0.1677
47561 GOODS-N 0.9152 3DHST 189.245803 62.202469 1.4166 0.1099 1.5278 0.0559
47669 GOODS-N 0.8740 3DHST 189.219045 62.198614 0.9317 0.4730 0.9373 0.2107
47747 GOODS-N 0.6859 3DHST 189.126661 62.198696 0.6867 0.4428 0.9440 0.2986
47814 GOODS-N 0.6875 3DHST 189.239500 62.202938 1.2654 0.0959 1.3896 0.0492
48176 GOODS-N 0.6562 3DHST 189.145689 62.206718 1.1083 0.0629 1.0926 0.0285
48189 GOODS-N 0.9911 3DHST 189.166745 62.202052 1.2958 0.0947 1.6795 0.0610
48229 GOODS-N 0.6630 3DHST 189.191530 62.200388 1.0616 0.1917 1.1618 0.1013
48397 GOODS-N 1.2032 3DHST 189.260927 62.204579 0.9164 0.1506 1.4141 0.1145
48455 GOODS-N 0.6427 3DHST 189.269459 62.200128 1.9935 1.9332 0.7688 0.4502
48514 GOODS-N 0.9183 3DHST 189.198000 62.200709 1.1803 0.3555 1.4215 0.2358
48525 GOODS-N 0.9979 3DHST 189.255102 62.200687 1.0435 0.4985 0.8987 0.2411
48542 GOODS-N 1.1788 3DHST 189.226584 62.200729 1.3303 0.5769 1.1305 0.2723
48569 GOODS-N 0.8403 3DHST 189.156947 62.200234 0.9402 0.4971 0.8694 0.3192
48650 GOODS-N 0.9258 3DHST 189.209032 62.204725 1.5793 0.1284 1.6947 0.0657
48712 GOODS-N 1.1920 3DHST 189.255626 62.201359 1.2873 1.5165 1.3712 0.8282
48759 GOODS-N 0.9604 3DHST 189.205487 62.202031 0.9756 0.3960 1.3533 0.2438
48793 GOODS-N 0.6114 3DHST 189.240062 62.200797 2.1753 2.7874 2.3990 1.4760
48954 GOODS-N 0.8645 3DHST 189.160630 62.200983 1.1507 1.8136 1.1051 1.2330
49243 GOODS-N 1.0168 3DHST 189.118539 62.205126 0.7971 0.4149 0.4666 0.1125
49261 GOODS-N 0.9541 3DHST 189.201093 62.203861 1.2128 0.1600 1.3433 0.0897
49779 GOODS-N 0.9672 3DHST 189.164335 62.203273 1.5856 0.2941 1.6837 0.1469
49912 GOODS-N 1.2154 3DHST 189.255062 62.203748 1.3274 0.6196 1.7312 0.4193
49923 GOODS-N 0.9380 3DHST 189.110831 62.203050 1.8182 2.5683 1.1679 0.6362
50162 GOODS-N 1.0018 3DHST 189.244026 62.203767 0.9582 0.2883 0.9714 0.1575
50196 GOODS-N 0.9772 3DHST 189.242933 62.203942 1.2849 0.1726 1.2086 0.0732
50210 GOODS-N 0.6490 3DHST 189.196208 62.203478 0.9547 0.3686 1.2945 0.2373
50214 GOODS-N 0.8453 3DHST 189.141333 62.204732 1.3576 0.2150 1.5475 0.1019
50265 GOODS-N 0.6895 3DHST 189.196850 62.203511 1.2666 1.3085 1.4452 0.6783
50399 GOODS-N 0.9168 3DHST 189.274721 62.204204 1.2359 0.4126 1.5534 0.2441
50422 GOODS-N 0.7455 3DHST 189.181790 62.205071 0.8957 0.0834 1.2186 0.0544
50439 GOODS-N 1.0654 3DHST 189.172884 62.204168 1.5117 0.1620 1.9502 0.1088
50528 GOODS-N 0.8276 3DHST 189.270322 62.204284 1.2344 0.2283 1.2931 0.1287
50565 GOODS-N 1.1157 3DHST 189.254046 62.204661 1.0269 0.5412 1.3212 0.3249
50799 GOODS-N 0.9324 3DHST 189.236018 62.205595 1.2870 0.1129 1.6873 0.0744
50951 GOODS-N 0.9635 3DHST 189.112654 62.204758 0.7730 0.5487 1.0038 0.3422
51003 GOODS-N 0.9422 3DHST 189.204441 62.205905 1.0317 0.0847 1.2319 0.0520
51107 GOODS-N 1.0826 3DHST 189.109928 62.204785 2.5925 4.8616 0.4661 0.5870
51174 GOODS-N 1.1952 3DHST 189.274993 62.205091 1.0226 0.3576 1.2666 0.2019
51290 GOODS-N 1.1071 3DHST 189.251084 62.205415 0.8574 0.9358 1.0570 0.5414
51477 GOODS-N 0.7531 3DHST 189.149156 62.205951 1.0411 0.3487 1.1672 0.1847
51485 GOODS-N 0.9787 3DHST 189.206371 62.205590 0.9710 0.2764 0.9488 0.1473
51587 GOODS-N 0.6892 3DHST 189.244353 62.206047 1.0375 0.1350 1.2027 0.0705
51648 GOODS-N 0.9060 3DHST 189.134688 62.207838 1.6545 0.3607 1.8891 0.1732
51786 GOODS-N 0.8229 3DHST 189.274000 62.206009 1.5419 1.3871 1.4711 0.8120
51834 GOODS-N 1.1714 3DHST 189.257124 62.206553 0.9669 0.2464 0.9371 0.1366
52017 GOODS-N 1.0064 3DHST 189.155800 62.208237 1.3820 0.1208 1.5887 0.0715
52146 GOODS-N 0.9579 3DHST 189.256880 62.207194 1.0002 0.1657 1.1046 0.0956
52192 GOODS-N 0.9376 3DHST 189.252169 62.207179 0.9856 0.3094 1.0267 0.1621
52404 GOODS-N 0.7509 3DHST 189.220232 62.208251 2.2687 1.5162 1.4362 0.3933
52440 GOODS-N 1.2094 3DHST 189.143881 62.211395 1.4067 0.1546 1.2919 0.0751
52460 GOODS-N 0.8129 3DHST 189.231522 62.212656 1.5389 0.1198 1.3479 0.0511
52511 GOODS-N 0.7000 3DHST 189.211876 62.207570 0.8823 0.3826 1.3742 0.2563
52591 GOODS-N 0.8393 3DHST 189.189021 62.207439 1.1217 0.8384 1.1510 0.5361
52625 GOODS-N 0.7803 3DHST 189.115983 62.207594 0.6234 0.6069 0.7393 0.2834
