# Catalog for all galaxies that matched between CANDELS and PEARS in GOODS-S.
# If a galaxy did not match with CANDELS then a matching in 3DHST was attempted.
# the 'zphot_source' column indicates the source of the photometric redshift.
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
18189 GOODS-S 1.0375 3DHST 53.153721 -27.912492 1.9174 4.0125 1.2945 1.5385
18213 GOODS-S 0.8860 CANDELS 53.195071 -27.911212 1.2244 0.4452 1.2059 0.2112
18260 GOODS-S 0.6690 CANDELS 53.193371 -27.903872 1.1910 0.0707 1.5368 0.0420
18337 GOODS-S 1.1050 CANDELS 53.177905 -27.909533 1.0574 0.0851 1.1650 0.0455
18484 GOODS-S 0.9220 CANDELS 53.175111 -27.909915 1.2340 0.5316 1.3092 0.3069
18564 GOODS-S 0.8070 CANDELS 53.130174 -27.910975 0.7554 0.2909 1.2181 0.2024
18610 GOODS-S 0.8280 CANDELS 53.196659 -27.911455 1.2961 0.7820 1.4144 0.4335
18882 GOODS-S 0.6780 CANDELS 53.161364 -27.910446 1.0626 0.2103 1.1635 0.1157
18972 GOODS-S 0.9390 CANDELS 53.171617 -27.910572 1.2294 0.3222 1.3481 0.1902
19088 GOODS-S 0.9210 CANDELS 53.131920 -27.910282 0.9438 0.1637 1.0024 0.0973
19226 GOODS-S 0.6230 CANDELS 53.141256 -27.907070 1.2486 0.1655 1.4326 0.0938
19435 GOODS-S 0.6570 CANDELS 53.142984 -27.909361 0.9055 0.2328 1.2132 0.1529
19569 GOODS-S 0.7700 CANDELS 53.153777 -27.909316 1.6537 1.2806 1.0270 0.3588
19585 GOODS-S 0.6260 CANDELS 53.196591 -27.908622 1.2655 0.4310 1.3177 0.2101
19591 GOODS-S 0.7600 CANDELS 53.187062 -27.909196 0.7470 0.6161 0.7567 0.2258
19652 GOODS-S 0.7210 CANDELS 53.154016 -27.908696 1.2450 0.3761 1.2610 0.1974
19733 GOODS-S 0.8410 CANDELS 53.174323 -27.908979 1.1327 0.5468 1.1277 0.3619
19774 GOODS-S 0.7840 CANDELS 53.201988 -27.904447 1.2886 0.2193 1.6862 0.1267
19952 GOODS-S 0.6360 CANDELS 53.182332 -27.908427 21.8890 482.2695 2.5076 2.8032
20072 GOODS-S 1.1750 CANDELS 53.168695 -27.907433 0.9014 0.3378 1.0841 0.1991
20200 GOODS-S 0.7440 CANDELS 53.204767 -27.907101 1.2337 0.9002 1.4142 0.5095
20265 GOODS-S 1.1000 CANDELS 53.150994 -27.907566 0.9606 0.4882 0.8006 0.3293
20266 GOODS-S 0.8420 CANDELS 53.187522 -27.907495 1.2005 0.3772 1.1410 0.2106
20387 GOODS-S 1.1480 CANDELS 53.151883 -27.907410 1.1902 1.0219 1.5292 0.6632
20446 GOODS-S 1.0800 CANDELS 53.213584 -27.906901 1.5595 1.8427 1.3881 0.8032
20658 GOODS-S 0.6300 CANDELS 53.158750 -27.906838 -0.1626 1.5791 0.1097 0.3304
20681 GOODS-S 0.8880 CANDELS 53.171402 -27.905208 1.1272 0.3001 1.2867 0.1857
20877 GOODS-S 1.0900 CANDELS 53.176781 -27.906117 0.8462 0.3134 1.1461 0.2246
20901 GOODS-S 1.1540 CANDELS 53.144242 -27.905625 1.3602 0.4609 1.2144 0.1978
20957 GOODS-S 0.6180 CANDELS 53.134580 -27.905617 1.2462 0.2504 1.4145 0.1448
21009 GOODS-S 0.8710 CANDELS 53.213416 -27.905077 0.9407 0.2625 1.2661 0.1850
21023 GOODS-S 1.1070 CANDELS 53.160710 -27.905997 1.5772 1.8928 1.6478 0.9434
21196 GOODS-S 0.8250 CANDELS 53.141363 -27.904972 1.0031 0.5446 1.3134 0.2887
21363 GOODS-S 0.6430 CANDELS 53.146706 -27.904563 1.1074 0.1010 1.1582 0.0529
21385 GOODS-S 0.7490 CANDELS 53.143181 -27.904855 1.1312 1.0205 1.0504 0.4839
21502 GOODS-S 0.8290 CANDELS 53.198295 -27.904723 1.5098 1.9070 1.8996 1.2347
21529 GOODS-S 0.8620 CANDELS 53.132943 -27.904770 1.4680 0.7292 1.3275 0.3668
21592 GOODS-S 0.6450 CANDELS 53.145924 -27.901462 1.2930 0.1227 1.3733 0.0593
21605 GOODS-S 1.1660 CANDELS 53.176645 -27.903724 0.9420 0.1243 0.7884 0.0551
21612 GOODS-S 0.6920 CANDELS 53.175819 -27.903717 1.4229 0.1450 1.2521 0.0670
21614 GOODS-S 0.7230 CANDELS 53.140516 -27.904663 0.9918 0.4837 1.1134 0.2224
21647 GOODS-S 0.8580 CANDELS 53.154657 -27.903758 1.1281 0.1844 1.1983 0.0979
21730 GOODS-S 0.8970 CANDELS 53.183049 -27.903219 1.0547 0.2229 1.1983 0.1218
21741 GOODS-S 0.8250 CANDELS 53.211895 -27.903781 0.9762 0.2424 1.0768 0.1187
21777 GOODS-S 0.6690 CANDELS 53.148082 -27.903771 1.0521 0.1495 1.2359 0.0765
21819 GOODS-S 1.1530 CANDELS 53.171413 -27.903951 0.9239 1.2397 1.1462 0.7102
21891 GOODS-S 0.6250 CANDELS 53.191908 -27.903925 0.9198 0.7717 1.2789 0.4349
21893 GOODS-S 1.1590 CANDELS 53.178872 -27.904041 1.3851 1.5123 1.7954 0.9713
21957 GOODS-S 0.6950 CANDELS 53.131267 -27.896306 0.9502 0.1588 1.0357 0.0876
22153 GOODS-S 0.8800 CANDELS 53.157993 -27.902530 0.9182 0.1766 0.8334 0.0813
22217 GOODS-S 1.1350 CANDELS 53.151415 -27.902618 1.5326 1.1076 1.4765 0.5254
22233 GOODS-S 0.6830 CANDELS 53.186936 -27.903100 0.8203 0.2931 1.0593 0.1881
22250 GOODS-S 0.6010 CANDELS 53.149711 -27.903029 1.0543 1.2828 0.3299 0.4115
22259 GOODS-S 0.8060 CANDELS 53.208274 -27.901509 0.9189 0.1531 1.2644 0.1098
22266 GOODS-S 0.7490 CANDELS 53.142656 -27.903210 1.3816 1.8936 1.6582 0.7999
22339 GOODS-S 0.7900 CANDELS 53.199166 -27.902811 1.3015 0.7001 1.6225 0.4601
22368 GOODS-S 0.8280 CANDELS 53.155395 -27.902379 1.8892 1.5186 1.1613 0.5265
22402 GOODS-S 0.7770 CANDELS 53.141867 -27.901909 0.9459 0.0769 1.3045 0.0536
22486 GOODS-S 0.8360 CANDELS 53.175419 -27.902233 1.2339 0.4784 1.0977 0.1900
22513 GOODS-S 1.0400 CANDELS 53.188489 -27.902749 0.9528 0.9237 1.1029 0.5869
22563 GOODS-S 0.7610 CANDELS 53.157864 -27.902274 1.2326 0.8121 0.6085 0.2746
22605 GOODS-S 1.2270 CANDELS 53.164788 -27.902030 1.2670 1.7327 1.0263 1.1950
