# Galaxies with zgrism less than 0.5
# ID      Field      zspec    zphot    zg     zspz    NetSig    D4000   res_zphot    res_zgrism    res_zspz    iABmag
51356     GOODS-S    0.628    0.56    0.33    0.58    427.14    1.21    -0.042       -0.183       -0.029      21.57
34128     GOODS-S    0.734    0.67    0.30    0.66    228.19    1.32    -0.037       -0.250       -0.043      22.83
52774     GOODS-S    0.629    0.63    0.31    0.61    505.41    1.18    +0.001       -0.196       -0.012      21.61
42119     GOODS-N    0.954    0.84    0.42    0.88    152.40    1.29    -0.058       -0.273       -0.038      22.57
69850     GOODS-N    0.818    0.72    0.39    0.71    100.30    1.14    -0.054       -0.235       -0.059      23.21
90145     GOODS-N    0.836    0.84    0.30    0.77    139.23    0.98    +0.002       -0.292       -0.036      23.43
38212     GOODS-N    0.954    0.92    0.43    0.94    126.20    1.48    -0.017       -0.268       -0.007      23.18
67582     GOODS-N    1.014    0.99    0.34    0.99    139.62    1.22    -0.012       -0.335       -0.012      23.25
54598     GOODS-N    0.642    0.64    0.38    0.64    694.02    1.36    -0.001       -0.160       -0.001      20.98
85491     GOODS-N    0.850    0.95    0.30    0.82    212.08    1.13    +0.054       -0.297       -0.016      22.73
65833     GOODS-N    0.850    0.82    0.34    0.82    212.70    1.32    -0.016       -0.276       -0.016      22.51
78300     GOODS-N    0.849    0.94    0.32    0.94    250.04    1.18    +0.049       -0.286       +0.049      22.77
85199     GOODS-N    0.606    0.50    0.48    0.51    206.23    1.36    -0.066       -0.078       -0.060      22.48
52460     GOODS-N    0.791    0.79    0.37    0.73    315.63    1.37    -0.001       -0.235       -0.034      21.99
79945     GOODS-N    0.749    0.51    0.30    0.50    108.65    1.09    -0.137       -0.257       -0.142      23.70
77927     GOODS-N    0.849    0.83    0.49    0.83    143.19    1.33    -0.010       -0.194       -0.010      23.39
44286     GOODS-N    1.013    0.98    0.35    0.97    151.54    1.17    -0.017       -0.329       -0.022      23.24
44746     GOODS-N    0.680    0.72    0.39    0.69    193.01    1.11    +0.024       -0.173       +0.006      23.11
51587     GOODS-N    0.682    0.56    0.35    0.59    164.15    1.07    -0.072       -0.197       -0.054      23.37
70787     GOODS-N    0.678    0.84    0.47    0.84    778.78    1.38    +0.097       -0.124       +0.097      20.73
105095    GOODS-N    0.943    0.92    0.36    0.89    150.85    1.18    -0.012       -0.300       -0.027      23.15
99452     GOODS-N    0.660    0.64    0.30    0.58    541.65    1.21    -0.012       -0.217       -0.048      21.62
85920     GOODS-N    1.014    0.96    0.37    0.97    274.63    1.31    -0.027       -0.320       -0.022      22.33
71893     GOODS-N    0.839    0.85    0.31    0.73    75.06     1.18    +0.006       -0.288       -0.059      23.75
107010    GOODS-N    0.942    0.83    0.33    0.90    270.77    1.13    -0.058       -0.315       -0.022      22.42
41945     GOODS-N    0.778    0.85    0.35    0.84    487.92    1.25    +0.040       -0.241       +0.035      21.50
52146     GOODS-N    0.971    0.95    0.31    0.94    85.44     1.10    -0.011       -0.335       -0.016      24.01
77103     GOODS-N    0.938    0.89    0.35    0.84    265.21    1.30    -0.025       -0.303       -0.050      22.00
78354     GOODS-N    0.745    0.80    0.30    0.72    120.91    1.26    +0.032       -0.255       -0.014      23.32
105455    GOODS-N    0.767    0.77    0.49    0.76    258.67    1.36    +0.002       -0.157       -0.004      22.58
92467     GOODS-N    0.744    0.73    0.40    0.71    138.34    0.99    -0.008       -0.197       -0.020      23.44
101785    GOODS-N    1.018    0.99    0.36    0.99    275.89    1.18    -0.014       -0.326       -0.014      22.55
92570     GOODS-N    0.744    0.97    0.42    0.96    335.65    1.15    +0.130       -0.186       +0.124      22.42
102886    GOODS-N    0.639    0.67    0.46    0.73    125.11    1.39    +0.019       -0.109       +0.056      23.32
109851    GOODS-N    0.875    0.91    0.33    0.88    141.76    1.28    +0.019       -0.291       +0.003      23.29
106613    GOODS-N    0.855    0.91    0.31    0.88    122.25    1.14    +0.030       -0.294       +0.013      23.52
99579     GOODS-N    1.144    1.01    0.37    1.06    188.40    1.16    -0.062       -0.361       -0.039      22.75
93156     GOODS-N    1.020    0.30    0.38    0.30    2638.62    1.00    -0.356       -0.317       -0.356      19.84
109801    GOODS-N    0.851    0.80    0.30    0.79    170.70    1.25    -0.028       -0.298       -0.033      23.26
97904     GOODS-N    0.681    0.68    0.30    0.66    488.29    1.17    -0.000       -0.227       -0.012      21.68
82986     GOODS-N    0.936    0.94    0.35    0.94    366.57    1.22    +0.002       -0.303       +0.002      22.11
86999     GOODS-N    0.851    0.85    0.33    0.89    363.46    1.35    -0.001       -0.281       +0.021      22.34
90557     GOODS-N    0.852    0.85    0.30    0.80    271.02    1.17    -0.001       -0.298       -0.028      22.61
125227    GOODS-N    1.226    1.03    0.35    1.45    102.99    0.37    -0.088       -0.393       +0.101      23.93
98984     GOODS-N    1.082    1.02    0.37    1.02    135.14    1.02    -0.030       -0.342       -0.030      23.52
98209     GOODS-N    1.146    0.30    0.49    0.30    286.62    1.22    -0.394       -0.306       -0.394      22.64
103094    GOODS-N    0.972    0.94    0.37    0.94    184.73    1.34    -0.016       -0.305       -0.016      22.61
86522     GOODS-N    0.710    0.68    0.30    0.68    269.71    1.18    -0.017       -0.240       -0.017      22.86
112486    GOODS-N    0.835    0.92    0.30    0.81    123.66    1.13    +0.046       -0.292       -0.014      23.66
95449     GOODS-N    0.935    0.90    0.36    0.89    105.59    1.15    -0.018       -0.297       -0.023      23.24
92316     GOODS-N    0.942    0.90    0.39    0.89    70.08     1.08    -0.022       -0.284       -0.027      23.99
120726    GOODS-N    0.778    0.80    0.36    0.71    169.07    1.24    +0.012       -0.235       -0.038      23.15
81269     GOODS-N    0.842    0.92    0.33    0.84    175.66    1.12    +0.042       -0.278       -0.001      23.35
118642    GOODS-N    0.836    0.78    0.37    0.74    212.96    1.23    -0.031       -0.254       -0.052      22.48
89845     GOODS-N    0.840    0.82    0.37    0.81    312.40    1.28    -0.011       -0.255       -0.016      21.76
121302    GOODS-N    0.778    0.72    0.34    0.72    311.43    1.25    -0.033       -0.246       -0.033      22.16
92450     GOODS-N    1.001    1.03    0.34    0.95    47.74     0.97    +0.014       -0.330       -0.026      24.19
91724     GOODS-N    1.002    1.01    0.30    1.00    23.16     1.09    +0.004       -0.351       -0.001      24.83
80987     GOODS-N    0.772    0.92    0.32    0.76    75.99     1.28    +0.084       -0.255       -0.007      23.71
85237     GOODS-N    1.141    1.04    0.43    1.04    74.05     1.01    -0.047       -0.332       -0.047      23.54
119723    GOODS-N    0.804    0.97    0.30    0.76    292.28    1.16    +0.092       -0.280       -0.025      22.82
127919    GOODS-N    1.225    1.07    0.42    1.24    78.25     1.06    -0.070       -0.362       +0.007      23.81
89112     GOODS-N    0.852    0.91    0.32    0.90    296.18    1.25    +0.031       -0.287       +0.026      22.13
88347     GOODS-N    0.709    0.58    0.31    0.56    127.94    1.23    -0.075       -0.233       -0.087      23.50
