# Tex formatted table 3 for SPZ paper
Last login: Sun Jun 30 16:35:12 on ttys001
Bhavins-MBP:grismz_pipeline bhavinjoshi$ python make_paper_table.py  
ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000    D4000_err    iABmag
119616   & GOODS-N   & 189.3631438   & 62.327969   & 1.010   & 0.94$\substack{+0.03 \\ -0.06}$   & 1.11$\substack{+0.00 \\ -0.01}$   & 1.01$\substack{+0.01 \\ -0.01}$   & 82.46    & 1.32   & 0.15   & 23.94 \\
35853    & GOODS-N   & 189.1421243   & 62.179438   & 1.011   & 0.94$\substack{+0.01 \\ -0.01}$   & 0.38$\substack{+0.00 \\ -0.01}$   & 0.93$\substack{+0.00 \\ -0.00}$   & 129.19   & 1.26   & 0.09   & 23.23 \\
117608   & GOODS-S   & 53.0816361   & $-$27.717718   & 0.640   & 0.73$\substack{+0.00 \\ -0.00}$   & 0.72$\substack{+0.01 \\ -0.00}$   & 0.72$\substack{+0.00 \\ -0.00}$   & 618.65   & 1.88   & 0.07   & 21.42 \\
82141    & GOODS-N   & 189.1952610   & 62.261281   & 0.917   & 0.90$\substack{+0.00 \\ -0.00}$   & 0.95$\substack{+0.00 \\ -0.01}$   & 0.88$\substack{+0.00 \\ -0.01}$   & 302.61   & 1.36   & 0.05   & 22.12 \\
47355    & GOODS-N   & 189.1542324   & 62.199884   & 0.779   & 0.80$\substack{+0.00 \\ -0.02}$   & 0.30$\substack{+0.00 \\ -0.00}$   & 0.77$\substack{+0.00 \\ -0.01}$   & 361.90   & 1.27   & 0.04   & 21.56 \\
100572   & GOODS-S   & 53.1371579   & $-$27.754179   & 0.765   & 0.80$\substack{+0.01 \\ -0.05}$   & 0.37$\substack{+0.01 \\ -0.00}$   & 0.75$\substack{+0.02 \\ -0.05}$   & 181.72   & 1.24   & 0.07   & 22.79 \\
88929    & GOODS-N   & 189.2792124   & 62.274477   & 0.943   & 0.95$\substack{+0.01 \\ -0.00}$   & 0.93$\substack{+0.01 \\ -0.00}$   & 0.94$\substack{+0.00 \\ -0.00}$   & 197.35   & 1.78   & 0.10   & 22.82 \\
109967   & GOODS-S   & 53.1558608   & $-$27.735275   & 1.017   & 1.06$\substack{+0.01 \\ -0.08}$   & 1.01$\substack{+0.00 \\ -0.01}$   & 1.05$\substack{+0.01 \\ -0.07}$   & 147.74   & 1.38   & 0.08   & 23.01 \\
98048    & GOODS-S   & 53.1095470   & $-$27.760050   & 1.050   & 1.15$\substack{+0.00 \\ -0.00}$   & 1.21$\substack{+0.01 \\ -0.00}$   & 1.21$\substack{+0.00 \\ -0.00}$   & 227.42   & 1.88   & 0.09   & 23.23 \\
36989    & GOODS-N   & 189.1697691   & 62.180284   & 1.006   & 1.23$\substack{+0.05 \\ -0.24}$   & 0.96$\substack{+0.01 \\ -0.14}$   & 1.20$\substack{+0.09 \\ -0.19}$   & 82.90    & 1.31   & 0.13   & 24.01 \\
