# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
77314 GOODS-N 189.1337081 62.251715 -99.0000 -99.0 - 113.04 23.87
42002 GOODS-N 189.1337243 62.188480 -99.0000 -99.0 - 45.53 25.19
83472 GOODS-N 189.1338020 62.261755 -99.0000 -99.0 - 19.03 25.97
75229 GOODS-N 189.1338104 62.247515 1.8530 Barger_ACS Z 78.61 24.43
72506 GOODS-N 189.1339473 62.242430 -99.0000 -99.0 - 37.87 24.97
81005 GOODS-N 189.1344659 62.257736 -99.0000 -99.0 - 28.26 25.76
89069 GOODS-N 189.1344847 62.272356 -99.0000 -99.0 - 27.39 25.12
51648 GOODS-N 189.1346879 62.207838 -99.0000 -99.0 - 111.50 23.74
77385 GOODS-N 189.1349037 62.251888 -99.0000 -99.0 - 63.83 24.57
88580 GOODS-N 189.1351622 62.274397 0.8589 3D_HST A 340.44 21.93
81733 GOODS-N 189.1352672 62.259103 -99.0000 -99.0 - 30.94 25.30
77555 GOODS-N 189.1353010 62.253679 0.6827 Wirth_2004 4 352.75 21.92
34967 GOODS-N 189.1353067 62.184825 -99.0000 -99.0 - 267.25 19.88
40269 GOODS-N 189.1356215 62.187082 -99.0000 -99.0 - 188.63 22.52
42702 GOODS-N 189.1358154 62.189428 -99.0000 -99.0 - 39.97 25.69
68131 GOODS-N 189.1359698 62.235469 -99.0000 -99.0 - 49.11 24.41
90204 GOODS-N 189.1360406 62.274850 1.4880 3D_HST A 123.43 23.83
54091 GOODS-N 189.1361717 62.210922 0.4581 Wirth_2004 4 196.83 23.06
61458 GOODS-N 189.1362752 62.222554 -99.0000 -99.0 - 38.57 25.69
53042 GOODS-N 189.1364946 62.212208 -99.0000 -99.0 - 587.18 21.42
72135 GOODS-N 189.1366738 62.241815 -99.0000 -99.0 - 64.16 24.38
40577 GOODS-N 189.1367392 62.186123 -99.0000 -99.0 - 97.61 25.97
60256 GOODS-N 189.1368481 62.221285 -99.0000 -99.0 - 53.58 24.57
73159 GOODS-N 189.1374910 62.243628 -99.0000 -99.0 - 70.68 24.68
82177 GOODS-N 189.1375948 62.260438 0.6816 Wirth_2004 4 240.33 23.13
87000 GOODS-N 189.1375951 62.271215 0.8526 Barger_K Z 284.67 22.25
54170 GOODS-N 189.1376439 62.209973 -99.0000 -99.0 - 76.79 25.82
41812 GOODS-N 189.1376541 62.187874 -99.0000 -99.0 - 44.22 25.27
52880 GOODS-N 189.1378187 62.208417 -99.0000 -99.0 - 80.20 24.71
37133 GOODS-N 189.1378370 62.181924 -99.0000 -99.0 - 23.83 23.85
72730 GOODS-N 189.1379719 62.243688 -99.0000 -99.0 - 83.29 23.85
47518 GOODS-N 189.1380509 62.198374 -99.0000 -99.0 - 70.22 24.61
76789 GOODS-N 189.1380744 62.253799 0.5196 Wirth_2004 4 348.54 22.29
36417 GOODS-N 189.1381142 62.192709 0.0790 Barger_UV Z 716.99 20.61
77271 GOODS-N 189.1382356 62.251227 -99.0000 -99.0 - 21.85 25.54
53362 GOODS-N 189.1383792 62.209994 -99.0000 -99.0 - 150.60 23.34
68957 GOODS-N 189.1385328 62.236441 1.3448 Barger_K Z 131.31 23.64
42975 GOODS-N 189.1385552 62.190479 -99.0000 -99.0 - 85.20 24.09
39438 GOODS-N 189.1386531 62.185290 -99.0000 -99.0 - 104.00 23.46
41948 GOODS-N 189.1388252 62.188277 -99.0000 -99.0 - 39.98 25.45
77258 GOODS-N 189.1391946 62.251302 2.4298 MOSDEF 4 117.23 23.98
91207 GOODS-N 189.1393979 62.276264 -99.0000 -99.0 - 33.05 25.11
70361 GOODS-N 189.1395830 62.238364 3.4130 Barger_K Z 80.19 24.90
87810 GOODS-N 189.1397013 62.270987 -99.0000 -99.0 - 38.15 25.18
47036 GOODS-N 189.1398378 62.198057 -99.0000 -99.0 - 73.70 23.98
56261 GOODS-N 189.1398945 62.214515 -99.0000 -99.0 - 249.87 23.40
74533 GOODS-N 189.1398957 62.246029 -99.0000 -99.0 - 13.63 25.88
58703 GOODS-N 189.1399619 62.222202 0.8446 Wirth_2004 3 494.69 21.53
81202 GOODS-N 189.1402865 62.259177 2.4875 MOSDEF 4 130.78 23.89
47144 GOODS-N 189.1405999 62.199025 -99.0000 -99.0 - 288.54 21.93
59977 GOODS-N 189.1406017 62.220291 -99.0000 -99.0 - 19.87 25.83
69994 GOODS-N 189.1406457 62.241945 0.5200 Barger_24m Z 700.46 21.09
52829 GOODS-N 189.1407801 62.209556 1.1434 Barger_K Z 127.80 23.63
68267 GOODS-N 189.1408441 62.235338 -99.0000 -99.0 - 81.19 24.27
69797 GOODS-N 189.1408945 62.237544 -99.0000 -99.0 - 42.35 24.94
39191 GOODS-N 189.1412284 62.183393 -99.0000 -99.0 - 90.13 25.83
50214 GOODS-N 189.1413327 62.204732 1.0160 Barger_ACS Z 476.25 22.80
36411 GOODS-N 189.1415257 62.179431 -99.0000 -99.0 - 31.68 24.73
36708 GOODS-N 189.1417078 62.181841 -99.0000 -99.0 - 356.96 21.62
38827 GOODS-N 189.1418660 62.183405 -99.0000 -99.0 - 29.02 26.00
40244 GOODS-N 189.1419223 62.185915 -99.0000 -99.0 - 96.68 24.26
61717 GOODS-N 189.1419262 62.224077 -99.0000 -99.0 - 43.53 24.48
49056 GOODS-N 189.1421139 62.201037 -99.0000 -99.0 - 42.74 24.97
35853 GOODS-N 189.1421243 62.179438 -99.0000 -99.0 - 129.19 23.23
65274 GOODS-N 189.1422994 62.232738 -99.0000 -99.0 - 3428.99 19.45
56432 GOODS-N 189.1423235 62.218281 -99.0000 -99.0 - 76.95 23.68
44070 GOODS-N 189.1425655 62.192104 -99.0000 -99.0 - 58.76 24.43
70253 GOODS-N 189.1425677 62.242482 -99.0000 -99.0 - 1071.81 20.55
80065 GOODS-N 189.1427527 62.257052 -99.0000 -99.0 - 35.87 24.70
74490 GOODS-N 189.1428070 62.246773 0.5072 Barger_K Z 228.09 22.92
46535 GOODS-N 189.1430920 62.196687 -99.0000 -99.0 - 54.51 24.96
59024 GOODS-N 189.1431247 62.220131 -99.0000 -99.0 - 179.28 22.85
77507 GOODS-N 189.1432887 62.251499 -99.0000 -99.0 - 26.68 25.79
44317 GOODS-N 189.1436162 62.203651 0.4573 Wirth_2004 4 2428.94 19.05
38666 GOODS-N 189.1438321 62.182865 -99.0000 -99.0 - 24.11 25.91
75072 GOODS-N 189.1438364 62.246942 -99.0000 -99.0 - 17.29 25.71
52440 GOODS-N 189.1438811 62.211395 -99.0000 -99.0 - 213.30 22.64
89615 GOODS-N 189.1438923 62.274070 0.8450 3D_HST A 99.82 23.73
63275 GOODS-N 189.1440215 62.227637 -99.0000 -99.0 - 19.61 25.86
39429 GOODS-N 189.1441906 62.185055 -99.0000 -99.0 - 35.71 25.00
69389 GOODS-N 189.1443043 62.236713 -99.0000 -99.0 - 33.32 25.57
37601 GOODS-N 189.1444233 62.181035 -99.0000 -99.0 - 72.01 25.98
66333 GOODS-N 189.1444682 62.231617 -99.0000 -99.0 - 229.19 23.39
79469 GOODS-N 189.1445043 62.255698 -99.0000 -99.0 - 77.90 24.25
36223 GOODS-N 189.1446734 62.178799 -99.0000 -99.0 - 29.76 25.56
59830 GOODS-N 189.1449459 62.220324 -99.0000 -99.0 - 20.86 25.63
44411 GOODS-N 189.1449767 62.192844 -99.0000 -99.0 - 14.06 25.61
36000 GOODS-N 189.1451882 62.178826 -99.0000 -99.0 - 50.04 25.13
89094 GOODS-N 189.1452767 62.274522 0.8487 3D_HST A 260.83 22.40
56164 GOODS-N 189.1452980 62.214852 -99.0000 -99.0 - 28.79 25.37
83106 GOODS-N 189.1455086 62.263566 0.8540 Barger_24m Z 267.69 22.18
48176 GOODS-N 189.1456894 62.206718 0.5620 Barger_K Z 1859.54 19.70
78447 GOODS-N 189.1460845 62.253791 -99.0000 -99.0 - 26.98 25.33
53404 GOODS-N 189.1462967 62.209081 -99.0000 -99.0 - 230.19 23.38
87473 GOODS-N 189.1463945 62.269574 -99.0000 -99.0 - 21.81 25.96
62589 GOODS-N 189.1464238 62.224930 -99.0000 -99.0 - 89.05 24.27
82770 GOODS-N 189.1464285 62.260974 -99.0000 -99.0 - 32.71 25.57
71076 GOODS-N 189.1464436 62.239790 -99.0000 -99.0 - 29.62 25.32
78657 GOODS-N 189.1468001 62.253825 -99.0000 -99.0 - 15.90 25.56
62968 GOODS-N 189.1468066 62.225564 -99.0000 -99.0 - 79.67 24.33
69530 GOODS-N 189.1469041 62.237877 -99.0000 -99.0 - 183.30 25.21
83539 GOODS-N 189.1470675 62.263182 0.3363 Barger_UV Z 302.25 22.81
38514 GOODS-N 189.1471191 62.186057 -99.0000 -99.0 - 1061.31 20.90
89827 GOODS-N 189.1471719 62.274108 -99.0000 -99.0 - 82.99 24.26
38167 GOODS-N 189.1472400 62.181989 -99.0000 -99.0 - 39.33 25.75
61915 GOODS-N 189.1474334 62.223537 -99.0000 -99.0 - 60.81 24.67
74954 GOODS-N 189.1474792 62.247170 0.5567 Barger_K Z 149.75 23.44
67455 GOODS-N 189.1475530 62.233641 -99.0000 -99.0 - 41.56 24.98
72787 GOODS-N 189.1476080 62.243757 -99.0000 -99.0 - 120.97 23.79
67192 GOODS-N 189.1478660 62.232734 -99.0000 -99.0 - 44.87 25.85
65602 GOODS-N 189.1478692 62.230528 -99.0000 -99.0 - 37.85 24.81
73429 GOODS-N 189.1479437 62.244771 -99.0000 -99.0 - 76.29 24.14
79908 GOODS-N 189.1480574 62.256074 2.9804 MOSDEF 4 86.57 24.32
76321 GOODS-N 189.1481136 62.249246 -99.0000 -99.0 - 28.89 25.58
77760 GOODS-N 189.1481143 62.252128 -99.0000 -99.0 - 44.66 25.41
70471 GOODS-N 189.1482769 62.240003 2.0150 Wirth_2015 4 141.31 23.25
91184 GOODS-N 189.1483329 62.275843 -99.0000 -99.0 - 44.18 25.40
85386 GOODS-N 189.1487496 62.265377 -99.0000 -99.0 - 49.60 25.19
88256 GOODS-N 189.1487522 62.270949 2.9804 MOSDEF 4 86.86 24.45
33020 GOODS-N 189.1487858 62.175735 -99.0000 -99.0 - 105.72 24.14
78475 GOODS-N 189.1491249 62.253905 -99.0000 -99.0 - 165.46 23.34
51477 GOODS-N 189.1491556 62.205951 -99.0000 -99.0 - 69.29 24.20
72646 GOODS-N 189.1495348 62.243344 -99.0000 -99.0 - 68.78 23.78
55842 GOODS-N 189.1496237 62.213512 -99.0000 -99.0 - 23.81 25.63
69824 GOODS-N 189.1499411 62.237559 -99.0000 -99.0 - 25.27 25.52
71596 GOODS-N 189.1501567 62.242224 -99.0000 -99.0 - 86.91 23.91
37495 GOODS-N 189.1501810 62.183402 -99.0000 -99.0 - 118.26 23.73
33351 GOODS-N 189.1503229 62.174961 2.3070 Wirth_2015 4 77.31 24.10
57425 GOODS-N 189.1504707 62.216438 -99.0000 -99.0 - 55.74 24.47
73962 GOODS-N 189.1505745 62.246301 -99.0000 -99.0 - 22.58 25.86
90726 GOODS-N 189.1506247 62.282418 0.2969 3D_HST A 498.07 21.05
60092 GOODS-N 189.1512002 62.222202 0.6800 Wirth_2015 4 243.99 22.37
58889 GOODS-N 189.1512006 62.218370 -99.0000 -99.0 - 30.65 25.62
76322 GOODS-N 189.1512034 62.250244 0.5599 Barger_K Z 181.22 23.15
28475 GOODS-N 189.1512869 62.167210 -99.0000 -99.0 - 39.97 25.88
66240 GOODS-N 189.1512965 62.231220 -99.0000 -99.0 - 60.87 25.80
51567 GOODS-N 189.1513623 62.207867 0.4841 Wirth_2004 4 519.25 21.57
55580 GOODS-N 189.1514520 62.213392 -99.0000 -99.0 - 63.55 24.71
89790 GOODS-N 189.1514720 62.273922 -99.0000 -99.0 - 131.01 23.59
52998 GOODS-N 189.1516111 62.210383 -99.0000 -99.0 - 220.56 22.57
80053 GOODS-N 189.1519039 62.256742 -99.0000 -99.0 - 64.96 24.24
39711 GOODS-N 189.1520412 62.184948 -99.0000 -99.0 - 33.17 25.39
62118 GOODS-N 189.1521147 62.228026 0.5570 Wirth_2015 4 439.80 21.65
93472 GOODS-N 189.1521808 62.281104 -99.0000 -99.0 - 63.43 24.80
80141 GOODS-N 189.1525087 62.256812 0.7431 Wirth_2004 4 190.99 24.14
64828 GOODS-N 189.1526445 62.229665 -99.0000 -99.0 - 1046.36 21.35
40498 GOODS-N 189.1527988 62.186514 -99.0000 -99.0 - 147.91 23.23
42284 GOODS-N 189.1528827 62.188586 -99.0000 -99.0 - 21.56 25.51
87093 GOODS-N 189.1530013 62.269226 -99.0000 -99.0 - 39.13 25.19
80404 GOODS-N 189.1530344 62.256989 -99.0000 -99.0 - 75.39 24.30
67793 GOODS-N 189.1531223 62.234290 -99.0000 -99.0 - 46.82 24.41
47008 GOODS-N 189.1531455 62.198917 0.5560 Wirth_2015 4 509.06 21.87
81876 GOODS-N 189.1531953 62.259575 -99.0000 -99.0 - 37.15 25.22
85574 GOODS-N 189.1532039 62.266166 -99.0000 -99.0 - 73.72 23.97
33853 GOODS-N 189.1532295 62.174653 -99.0000 -99.0 - 23.15 25.59
86173 GOODS-N 189.1532405 62.267988 0.8430 Barger_24m Z 199.97 22.85
47065 GOODS-N 189.1533358 62.203663 0.8477 Wirth_2004 4 718.63 20.56
62255 GOODS-N 189.1534019 62.224845 -99.0000 -99.0 - 22.25 25.88
94177 GOODS-N 189.1534424 62.282258 1.0135 Barger_ACS Z 99.68 23.93
91792 GOODS-N 189.1534626 62.278549 -99.0000 -99.0 - 119.38 23.67
66037 GOODS-N 189.1534712 62.230995 -99.0000 -99.0 - 53.02 24.83
73239 GOODS-N 189.1535187 62.244366 -99.0000 -99.0 - 53.46 24.38
63227 GOODS-N 189.1535471 62.229405 -99.0000 -99.0 - 417.67 21.72
36211 GOODS-N 189.1535824 62.193013 0.0790 Barger_K Z 4693.24 18.00
78363 GOODS-N 189.1536186 62.253049 -99.0000 -99.0 - 43.92 25.16
