# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_north_idv415 pears_ra pears_dec threed_ra threed_dec
75862 21623 189.144534 62.248624 189.144531 62.248619
54704 14281 189.144536 62.212047 189.144531 62.212048
70568 19789 189.144613 62.239113 189.144592 62.239113
36223 7402 189.144673 62.178799 189.144684 62.178802
64691 17646 189.144852 62.229114 189.144836 62.229137
59830 15820 189.144946 62.220324 189.144913 62.220325
44411 10056 189.144977 62.192844 189.144943 62.192833
36000 7433 189.145188 62.178826 189.145187 62.178841
89094 26658 189.145277 62.274522 189.145264 62.274536
56164 14736 189.145298 62.214852 189.145294 62.214855
83106 24523 189.145509 62.263566 189.145523 62.263573
48176 12343 189.145689 62.206718 189.145676 62.206730
71377 20344 189.146070 62.241582 189.146042 62.241581
78447 22735 189.146085 62.253791 189.146042 62.253796
53404 13536 189.146297 62.209081 189.146286 62.209080
44323 10118 189.146341 62.192959 189.146317 62.192947
63705 17107 189.146345 62.226611 189.146362 62.226608
56778 14891 189.146360 62.215531 189.146378 62.215511
87473 26025 189.146395 62.269574 189.146408 62.269577
62589 16744 189.146424 62.224930 189.146423 62.224934
82770 24183 189.146429 62.260974 189.146439 62.260975
71076 19866 189.146444 62.239790 189.146439 62.239799
66933 18642 189.146796 62.233428 189.146774 62.233437
78657 22732 189.146800 62.253825 189.146790 62.253834
62968 16872 189.146807 62.225564 189.146805 62.225574
69530 19592 189.146904 62.237877 189.146896 62.237881
71510 20189 189.146955 62.241058 189.146973 62.241058
46564 11279 189.147012 62.197748 189.146988 62.197750
77485 22159 189.147020 62.251276 189.147003 62.251282
83539 24736 189.147067 62.263182 189.147064 62.263184
67364 18447 189.147080 62.233268 189.147018 62.233253
38514 8656 189.147119 62.186057 189.147125 62.186058
89827 26865 189.147172 62.274108 189.147156 62.274120
38167 7970 189.147240 62.181989 189.147232 62.181992
59929 15869 189.147322 62.220674 189.147308 62.220680
68883 18991 189.147370 62.235699 189.147369 62.235699
61915 16436 189.147433 62.223537 189.147415 62.223541
48772 12300 189.147466 62.202355 189.147461 62.202347
74954 21407 189.147479 62.247170 189.147476 62.247173
42111 9205 189.147488 62.188428 189.147430 62.188431
67455 18518 189.147553 62.233641 189.147537 62.233646
58754 15485 189.147571 62.218465 189.147552 62.218460
72787 20801 189.147608 62.243757 189.147614 62.243778
48961 11745 189.147827 62.200675 189.147812 62.200684
67192 18290 189.147866 62.232734 189.147858 62.232735
65602 17940 189.147869 62.230528 189.147873 62.230545
73429 20948 189.147944 62.244771 189.147934 62.244781
79908 23207 189.148057 62.256074 189.148041 62.256069
72344 20259 189.148067 62.242016 189.148056 62.242008
76321 21722 189.148114 62.249246 189.148056 62.249241
77760 22397 189.148114 62.252128 189.148102 62.252132
53189 13674 189.148139 62.209363 189.148148 62.209366
70471 19913 189.148277 62.240003 189.148315 62.240002
59874 16212 189.148322 62.222403 189.148346 62.222404
91184 27288 189.148333 62.275843 189.148331 62.275845
50412 12436 189.148359 62.203829 189.148346 62.203831
85125 24992 189.148392 62.264708 189.148407 62.264702
82234 24176 189.148423 62.260594 189.148392 62.260605
58974 15565 189.148479 62.218843 189.148499 62.218830
49656 12083 189.148492 62.202151 189.148499 62.202145
49207 11905 189.148607 62.201446 189.148560 62.201431
85386 25170 189.148750 62.265377 189.148743 62.265377
88256 26371 189.148752 62.270949 189.148758 62.270943
33020 6732 189.148786 62.175735 189.148788 62.175732
81760 23865 189.149070 62.259268 189.149063 62.259270
85216 25186 189.149122 62.265403 189.149124 62.265408
78475 22914 189.149125 62.253905 189.149109 62.253902
51477 12897 189.149156 62.205951 189.149139 62.205963
53185 13466 189.149420 62.208681 189.149414 62.208675
40810 8824 189.149473 62.186617 189.149521 62.186623
72646 20701 189.149535 62.243344 189.149506 62.243351
55842 14449 189.149624 62.213512 189.149612 62.213512
39747 8358 189.149935 62.184253 189.149933 62.184246
69824 19336 189.149941 62.237559 189.149933 62.237553
46465 10850 189.150007 62.196364 189.150040 62.196365
71596 20334 189.150157 62.242224 189.150162 62.242229
37495 8311 189.150181 62.183402 189.150162 62.183399
76486 21839 189.150257 62.249736 189.150269 62.249737
47489 11287 189.150306 62.198377 189.150330 62.198376
33351 6701 189.150323 62.174961 189.150330 62.174973
54520 14051 189.150376 62.211274 189.150375 62.211273
57425 15144 189.150471 62.216438 189.150467 62.216434
60931 16202 189.150521 62.222079 189.150513 62.222084
73962 21153 189.150575 62.246301 189.150543 62.246319
63032 17412 189.150578 62.227518 189.150558 62.227509
70944 19808 189.150614 62.239599 189.150620 62.239601
90726 27888 189.150625 62.282418 189.150620 62.282421
91343 27353 189.150629 62.276224 189.150620 62.276230
57839 15210 189.150820 62.216946 189.150818 62.216965
55508 14515 189.150825 62.213395 189.150818 62.213390
51637 12797 189.150987 62.205845 189.150986 62.205841
75550 21438 189.151128 62.247871 189.151123 62.247879
60092 16287 189.151200 62.222202 189.151199 62.222195
58889 15444 189.151201 62.218370 189.151199 62.218365
76322 22127 189.151203 62.250244 189.151215 62.250244
33182 6647 189.151269 62.174292 189.151230 62.174297
28475 5601 189.151287 62.167210 189.151306 62.167213
66240 17992 189.151297 62.231220 189.151306 62.231220
91615 27503 189.151344 62.277016 189.151352 62.277031
51567 13174 189.151362 62.207867 189.151367 62.207874
66398 18070 189.151386 62.231512 189.151367 62.231522
55580 14480 189.151452 62.213392 189.151459 62.213390
89790 26850 189.151472 62.273922 189.151474 62.273918
76250 21748 189.151519 62.249432 189.151505 62.249428
41572 9113 189.151553 62.187814 189.151535 62.187820
52998 13746 189.151611 62.210383 189.151596 62.210384
51180 12577 189.151702 62.204733 189.151688 62.204731
80116 23160 189.151786 62.256088 189.151794 62.256084
89214 26573 189.151857 62.272219 189.151840 62.272217
80053 23438 189.151904 62.256742 189.151901 62.256741
70270 19603 189.151925 62.238554 189.151916 62.238552
48783 11883 189.152026 62.200818 189.152023 62.200817
39711 8557 189.152041 62.184948 189.152039 62.184948
88680 26514 189.152064 62.271717 189.152084 62.271732
62118 16849 189.152115 62.228026 189.152100 62.228027
93472 28138 189.152181 62.281104 189.152176 62.281113
95067 28742 189.152189 62.283575 189.152222 62.283585
91129 27260 189.152392 62.276738 189.152420 62.276730
80141 23343 189.152509 62.256812 189.152512 62.256817
64828 17829 189.152645 62.229665 189.152634 62.229668
52652 13260 189.152789 62.208007 189.152802 62.208012
40498 8893 189.152799 62.186514 189.152802 62.186512
42284 9226 189.152883 62.188586 189.152878 62.188591
87093 25974 189.153001 62.269226 189.153015 62.269230
80404 23420 189.153034 62.256989 189.153046 62.256992
67793 18753 189.153122 62.234290 189.153122 62.234287
47008 11460 189.153145 62.198917 189.153152 62.198914
43265 9636 189.153186 62.190673 189.153122 62.190681
81876 23955 189.153195 62.259575 189.153213 62.259575
85574 25360 189.153204 62.266166 189.153198 62.266174
33853 6712 189.153230 62.174653 189.153244 62.174652
86173 25594 189.153241 62.267988 189.153229 62.267979
47065 11932 189.153336 62.203663 189.153351 62.203655
62255 16687 189.153402 62.224845 189.153442 62.224854
94177 28411 189.153442 62.282258 189.153442 62.282265
48873 11930 189.153446 62.201134 189.153442 62.201138
91792 27528 189.153463 62.278549 189.153458 62.278545
66037 17963 189.153471 62.230995 189.153473 62.230995
73239 20883 189.153519 62.244366 189.153519 62.244385
63227 17477 189.153547 62.229405 189.153534 62.229408
53142 13607 189.153552 62.209213 189.153534 62.209217
36211 9116 189.153582 62.193013 189.153610 62.193012
78363 22608 189.153619 62.253049 189.153610 62.253044
96240 29259 189.153637 62.286242 189.153610 62.286251
90805 27126 189.153808 62.275934 189.153778 62.275894
73156 20698 189.153921 62.243803 189.153931 62.243813
35205 7451 189.153928 62.178893 189.153915 62.178890
33414 6624 189.154065 62.175396 189.154068 62.175392
59389 15688 189.154095 62.219840 189.154099 62.219837
47355 11592 189.154232 62.199884 189.154221 62.199886
52792 13502 189.154264 62.208556 189.154251 62.208553
41759 9187 189.154433 62.187921 189.154434 62.187946
88020 26273 189.154438 62.270859 189.154449 62.270863
40538 8953 189.154470 62.186614 189.154465 62.186619
59701 15882 189.154479 62.220167 189.154480 62.220165
84798 24941 189.154497 62.264356 189.154480 62.264355
89507 26798 189.154598 62.274625 189.154663 62.274601
84293 24682 189.154612 62.263312 189.154633 62.263309
40372 8629 189.154616 62.185621 189.154556 62.185596
95506 28893 189.154633 62.284906 189.154633 62.284904
91098 27264 189.154708 62.275652 189.154694 62.275654
31891 6271 189.154714 62.171956 189.154724 62.171951
59716 16039 189.154792 62.221113 189.154724 62.221088
53711 13856 189.154859 62.210294 189.154846 62.210297
41982 9189 189.154924 62.188281 189.154938 62.188290
64339 17426 189.154929 62.228130 189.154922 62.228130
56343 14884 189.155008 62.215538 189.155014 62.215542
62061 16730 189.155015 62.224553 189.154999 62.224564
36118 7406 189.155031 62.178738 189.155029 62.178734
91073 27458 189.155052 62.279438 189.155060 62.279438
62128 16895 189.155168 62.226272 189.155197 62.226234
82822 24114 189.155257 62.260638 189.155243 62.260639
64578 17446 189.155291 62.228428 189.155289 62.228428
88402 26333 189.155442 62.270828 189.155396 62.270832
87429 26090 189.155520 62.269578 189.155518 62.269581
92291 27714 189.155606 62.279951 189.155609 62.279949
52680 13978 189.155607 62.214564 189.155609 62.214573
86004 25468 189.155633 62.266639 189.155624 62.266640
89152 26792 189.155788 62.273095 189.155792 62.273094
52017 13453 189.155800 62.208237 189.155792 62.208241
76619 21890 189.155854 62.250008 189.155838 62.249989
48028 11759 189.155881 62.199866 189.155838 62.199867
93976 28267 189.155884 62.281643 189.155869 62.281647
55142 14462 189.155949 62.213178 189.155899 62.213146
85335 25265 189.156048 62.266283 189.156036 62.266281
84909 25009 189.156232 62.264711 189.156235 62.264713
96885 29378 189.156249 62.286831 189.156265 62.286835
64683 17792 189.156433 62.229479 189.156418 62.229485
41997 9161 189.156500 62.188091 189.156479 62.188087
54275 14068 189.156509 62.211130 189.156509 62.211132
85050 25044 189.156517 62.264719 189.156525 62.264721
37840 7905 189.156528 62.181729 189.156570 62.181717
75980 21703 189.156547 62.249034 189.156555 62.249035
38612 8466 189.156602 62.184957 189.156540 62.184933
40731 8936 189.156651 62.186827 189.156677 62.186867
74900 21632 189.156752 62.248200 189.156708 62.248157
71609 20050 189.156758 62.240774 189.156723 62.240784
36664 7596 189.156773 62.179846 189.156754 62.179844
53401 13776 189.156836 62.211383 189.156845 62.211376
48569 11703 189.156947 62.200234 189.156906 62.200230
39328 8705 189.157115 62.185145 189.157120 62.185143
86203 25565 189.157273 62.268766 189.157272 62.268765
64321 17339 189.157326 62.227824 189.157303 62.227829
59044 15555 189.157326 62.218821 189.157333 62.218822
53478 13752 189.157346 62.209771 189.157349 62.209778
93858 28328 189.157375 62.281546 189.157379 62.281528
