# Full paper table 3. Paste part of this into tex file to create shortened table.
# ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000   iABmag
36944     GOODS-N    189.1703780    62.181871    0.874    0.89$\substack{+0.03 \\ -0.03}$    0.30$\substack{+0.27 \\ -0.27}$    0.85$\substack{+0.04 \\ -0.04}$    280.71    1.20    22.49
59375     GOODS-N    189.1713667    62.220700    1.016    0.98$\substack{+0.02 \\ -0.02}$    1.04$\substack{+0.19 \\ -0.19}$    0.98$\substack{+0.03 \\ -0.04}$    211.11    1.34    22.83
41388     GOODS-N    189.1714112    62.190279    1.020    0.98$\substack{+0.02 \\ -0.03}$    1.05$\substack{+0.16 \\ -0.16}$    0.99$\substack{+0.05 \\ -0.06}$    147.07    1.77    23.32
88566     GOODS-N    189.1720747    62.271681    0.850    0.86$\substack{+0.02 \\ -0.02}$    0.85$\substack{+0.10 \\ -0.10}$    0.85$\substack{+0.03 \\ -0.03}$    202.17    1.69    23.19
36639     GOODS-N    189.1726884    62.180919    0.937    0.92$\substack{+0.03 \\ -0.03}$    0.91$\substack{+0.26 \\ -0.27}$    0.90$\substack{+0.04 \\ -0.04}$    160.27    1.37    22.82
94262     GOODS-N    189.1744817    62.282598    0.851    0.85$\substack{+0.04 \\ -0.04}$    0.83$\substack{+0.31 \\ -0.32}$    0.84$\substack{+0.05 \\ -0.05}$    165.17    1.30    23.58
74641     GOODS-N    189.1747314    62.249069    0.850    0.94$\substack{+0.04 \\ -0.04}$    0.76$\substack{+0.17 \\ -0.17}$    0.93$\substack{+0.04 \\ -0.04}$    176.49    1.41    22.97
81749     GOODS-N    189.1758510    62.262638    0.858    1.20$\substack{+-100.20 \\ -100.20}$    1.01$\substack{+0.41 \\ -0.41}$    1.19$\substack{+0.02 \\ -0.02}$    514.03    1.36    21.39
71198     GOODS-N    189.1762207    62.241568    0.849    1.03$\substack{+0.06 \\ -0.06}$    1.38$\substack{+0.83 \\ -0.83}$    1.04$\substack{+0.41 \\ -0.41}$    110.54    1.13    23.77
88858     GOODS-N    189.1765570    62.272816    0.854    0.94$\substack{+0.03 \\ -0.03}$    0.38$\substack{+0.45 \\ -0.45}$    0.92$\substack{+0.08 \\ -0.08}$    133.03    1.39    23.28
92535     GOODS-N    189.1767644    62.279170    0.836    0.83$\substack{+0.01 \\ -0.01}$    0.83$\substack{+0.28 \\ -0.29}$    0.83$\substack{+0.04 \\ -0.04}$    234.15    1.36    22.85
42014     GOODS-N    189.1773335    62.189407    0.845    0.91$\substack{+0.04 \\ -0.04}$    0.78$\substack{+0.26 \\ -0.27}$    0.80$\substack{+0.05 \\ -0.05}$    186.01    1.14    22.88
