| lambda_Angs|Flambda/F(5500A)|
|       float|           float|
      239424.    0.0248379
      241279.    0.0255719
      243184.    0.0260824
      245069.    0.0266069
      247003.    0.0273263
      248918.    0.0278758
      250882.    0.0286613
      252827.    0.0293221
      254822.    0.0299758
      256833.    0.0306449
      258824.    0.0313002
      260867.    0.0319481
      262889.    0.0326361
      264964.    0.0333451
      267018.    0.0340214
      269125.    0.0347262
      271211.    0.0354099
      273352.    0.0360857
      275509.    0.0368237
      277645.    0.0375468
      279836.    0.0382614
      282005.    0.0389514
      284231.    0.0396344
      286434.    0.0402851
      288695.    0.0410142
      290932.    0.0417189
      293229.    0.0424149
      295543.    0.0431183
      297834.    0.0437896
      300185.    0.0444520
      302511.    0.0451394
      304899.    0.0458176
      307262.    0.0464634
      309687.    0.0471158
      312088.    0.0477360
      314551.    0.0483513
      317034.    0.0489883
      319491.    0.0495936
      322013.    0.0501957
      324509.    0.0508029
      327070.    0.0514007
      329605.    0.0519673
      332206.    0.0525205
      334781.    0.0530450
      337424.    0.0535567
      340087.    0.0540377
      342723.    0.0544929
      345428.    0.0549443
      348105.    0.0553841
      350853.    0.0558147
      353572.    0.0562111
      356363.    0.0565770
      359125.    0.0569214
      361960.    0.0572588
      364816.    0.0575844
      367644.    0.0578899
      370546.    0.0581869
      373418.    0.0584651
      376365.    0.0587347
      379282.    0.0589623
      382276.    0.0591542
      385239.    0.0593312
      388280.    0.0594936
      391344.    0.0596390
      394378.    0.0597714
      397490.    0.0598865
      400571.    0.0599829
      403733.    0.0600715
      406862.    0.0601079
      410073.    0.0601105
      413252.    0.0601059
      416514.    0.0601082
      419801.    0.0601105
      423055.    0.0601055
      426394.    0.0600399
      429699.    0.0599486
      433090.    0.0598505
      436447.    0.0597251
      439892.    0.0595853
      443302.    0.0594441
      446801.    0.0592687
      450327.    0.0590832
      453818.    0.0588982
      457399.    0.0586757
      460945.    0.0584499
      464583.    0.0582183
      468184.    0.0579960
      471879.    0.0577687
      475537.    0.0575437
      479290.    0.0572772
      483073.    0.0570077
      486817.    0.0567424
      490659.    0.0564772
      494463.    0.0562162
      498365.    0.0559458
      502228.    0.0556020
      506192.    0.0552533
      510116.    0.0549160
      514142.    0.0546158
      518200.    0.0543159
      522216.    0.0540222
      526338.    0.0537268
      530418.    0.0534370
      534604.    0.0531350
      538748.    0.0528084
      543000.    0.0524772
      547209.    0.0521536
      551528.    0.0518272
      555881.    0.0515021
      560190.    0.0511959
      564611.    0.0509158
      568987.    0.0506410
      573478.    0.0503494
      577923.    0.0500398
      582484.    0.0497258
      586999.    0.0494339
      591632.    0.0491633
      596302.    0.0488930
      600924.    0.0486456
      605667.    0.0484176
      610361.    0.0481930
      615179.    0.0479662
      619947.    0.0477453
      624840.    0.0475198
      629683.    0.0473002
      634653.    0.0470783
      639662.    0.0468559
      644620.    0.0466605
      649708.    0.0464783
      654744.    0.0462980
      659912.    0.0461395
      665027.    0.0459982
      670276.    0.0458521
      675471.    0.0457115
      680802.    0.0455688
      686176.    0.0454239
      691494.    0.0452850
      696952.    0.0451435
      702354.    0.0450023
      707898.    0.0448896
      713385.    0.0447864
      719015.    0.0446784
      724588.    0.0446052
      730307.    0.0445358
      736071.    0.0444626
      741777.    0.0443666
      747631.    0.0442625
      753426.    0.0441573
      759373.    0.0440875
      765259.    0.0440198
      771299.    0.0439470
      777277.    0.0438826
      783412.    0.0438137
      789595.    0.0437412
      795715.    0.0436774
      801996.    0.0436087
      808212.    0.0435380
      814591.    0.0434732
      820905.    0.0434058
      827384.    0.0433346
      833797.    0.0432711
      840378.    0.0432027
      847011.    0.0431271
      853576.    0.0430299
      860313.    0.0429280
      866982.    0.0428268
      873824.    0.0427283
      880597.    0.0426288
      887548.    0.0425268
      894553.    0.0424289
      901487.    0.0423299
      908602.    0.0422192
      915644.    0.0420907
      922871.    0.0419577
      930024.    0.0418167
      937365.    0.0416539
      944630.    0.0414927
      952086.    0.0413295
      959601.    0.0411684
      967039.    0.0410090
      974671.    0.0408338
      982226.    0.0406459
      989978.    0.0404540
      997652.    0.0402343
  1.00553e+06    0.0399767
  1.01332e+06    0.0397247
  1.02132e+06    0.0394805
  1.02938e+06    0.0392747
  1.03736e+06    0.0390727
  1.04554e+06    0.0388257
  1.05365e+06    0.0385543
  1.06196e+06    0.0382796
  1.07020e+06    0.0380137
  1.07864e+06    0.0377491
  1.08700e+06    0.0374908
  1.09558e+06    0.0372081
  1.10423e+06    0.0369167
  1.11279e+06    0.0366328
  1.12157e+06    0.0363048
  1.13027e+06    0.0359699
  1.13919e+06    0.0356324
  1.14802e+06    0.0352884
  1.15708e+06    0.0349369
  1.16605e+06    0.0345955
  1.17525e+06    0.0342474
  1.18452e+06    0.0338989
  1.19371e+06    0.0335606
  1.20313e+06    0.0331899
  1.21245e+06    0.0328075
  1.22202e+06    0.0324231
  1.23149e+06    0.0320581
  1.24121e+06    0.0316960
  1.25084e+06    0.0313448
  1.26071e+06    0.0309318
  1.27066e+06    0.0305212
  1.28051e+06    0.0301235
  1.29061e+06    0.0297232
  1.30062e+06    0.0293356
  1.31088e+06    0.0289454
  1.32104e+06    0.0285456
  1.33147e+06    0.0281445
  1.34179e+06    0.0277544
  1.35238e+06    0.0273428
  1.36305e+06    0.0269374
  1.37362e+06    0.0265394
  1.38446e+06    0.0261050
  1.39519e+06    0.0256851
  1.40620e+06    0.0252645
  1.41710e+06    0.0248582
  1.42829e+06    0.0244512
  1.43936e+06    0.0240536
  1.45072e+06    0.0236414
  1.46217e+06    0.0232359
  1.47350e+06    0.0228408
  1.48513e+06    0.0224367
  1.49664e+06    0.0220464
  1.50846e+06    0.0216543
  1.52015e+06    0.0212500
  1.53215e+06    0.0208454
  1.54402e+06    0.0204550
  1.55621e+06    0.0200647
  1.56849e+06    0.0196810
  1.58065e+06    0.0193067
  1.59313e+06    0.0189071
  1.60547e+06    0.0185214
  1.61815e+06    0.0181349
  1.63069e+06    0.0177614
  1.64356e+06    0.0173878
  1.65630e+06    0.0170291
  1.66937e+06    0.0166720
  1.68255e+06    0.0163211
  1.69559e+06    0.0159707
  1.70897e+06    0.0156114
  1.72222e+06    0.0152648
  1.73581e+06    0.0149210
