# z  dl_mpc  dl_cm
1.135  7.949703e+03  2.453278e+28
1.140  7.992856e+03  2.466595e+28
1.145  8.036054e+03  2.479926e+28
1.150  8.079295e+03  2.493270e+28
1.155  8.122580e+03  2.506628e+28
1.160  8.165909e+03  2.520000e+28
1.165  8.209281e+03  2.533384e+28
1.170  8.252696e+03  2.546782e+28
1.175  8.296155e+03  2.560193e+28
1.180  8.339655e+03  2.573618e+28
1.185  8.383199e+03  2.587055e+28
1.190  8.426784e+03  2.600506e+28
1.195  8.470412e+03  2.613969e+28
1.200  8.514082e+03  2.627446e+28
1.205  8.557793e+03  2.640935e+28
1.210  8.601546e+03  2.654437e+28
1.215  8.645340e+03  2.667952e+28
1.220  8.689176e+03  2.681480e+28
1.225  8.733052e+03  2.695020e+28
1.230  8.776969e+03  2.708573e+28
1.235  8.820927e+03  2.722138e+28
1.240  8.864925e+03  2.735716e+28
1.245  8.908963e+03  2.749306e+28
1.250  8.953041e+03  2.762908e+28
1.255  8.997159e+03  2.776523e+28
1.260  9.041316e+03  2.790150e+28
1.265  9.085513e+03  2.803789e+28
1.270  9.129750e+03  2.817441e+28
1.275  9.174025e+03  2.831104e+28
1.280  9.218339e+03  2.844779e+28
1.285  9.262692e+03  2.858467e+28
1.290  9.307083e+03  2.872166e+28
1.295  9.351513e+03  2.885877e+28
1.300  9.395981e+03  2.899600e+28
1.305  9.440487e+03  2.913334e+28
1.310  9.485031e+03  2.927081e+28
1.315  9.529613e+03  2.940839e+28
1.320  9.574232e+03  2.954608e+28
1.325  9.618889e+03  2.968389e+28
1.330  9.663583e+03  2.982182e+28
1.335  9.708313e+03  2.995986e+28
1.340  9.753081e+03  3.009801e+28
1.345  9.797885e+03  3.023627e+28
1.350  9.842726e+03  3.037465e+28
1.355  9.887603e+03  3.051314e+28
1.360  9.932517e+03  3.065175e+28
1.365  9.977466e+03  3.079046e+28
1.370  1.002245e+04  3.092929e+28
1.375  1.006747e+04  3.106822e+28
1.380  1.011253e+04  3.120727e+28
1.385  1.015762e+04  3.134642e+28
1.390  1.020275e+04  3.148568e+28
1.395  1.024791e+04  3.162506e+28
1.400  1.029311e+04  3.176454e+28
1.405  1.033834e+04  3.190412e+28
1.410  1.038361e+04  3.204382e+28
1.415  1.042891e+04  3.218362e+28
1.420  1.047425e+04  3.232352e+28
1.425  1.051962e+04  3.246354e+28
1.430  1.056502e+04  3.260366e+28
1.435  1.061046e+04  3.274388e+28
1.440  1.065593e+04  3.288421e+28
1.445  1.070144e+04  3.302464e+28
1.450  1.074698e+04  3.316517e+28
1.455  1.079255e+04  3.330581e+28
1.460  1.083816e+04  3.344655e+28
1.465  1.088380e+04  3.358739e+28
1.470  1.092947e+04  3.372834e+28
1.475  1.097517e+04  3.386938e+28
1.480  1.102091e+04  3.401053e+28
1.485  1.106668e+04  3.415178e+28
1.490  1.111248e+04  3.429312e+28
1.495  1.115832e+04  3.443457e+28
1.500  1.120419e+04  3.457612e+28
1.505  1.125009e+04  3.471776e+28
1.510  1.129602e+04  3.485951e+28
1.515  1.134198e+04  3.500135e+28
1.520  1.138797e+04  3.514329e+28
1.525  1.143400e+04  3.528533e+28
1.530  1.148006e+04  3.542746e+28
1.535  1.152615e+04  3.556969e+28
1.540  1.157227e+04  3.571202e+28
1.545  1.161842e+04  3.585444e+28
1.550  1.166460e+04  3.599696e+28
1.555  1.171081e+04  3.613957e+28
1.560  1.175706e+04  3.628228e+28
1.565  1.180333e+04  3.642508e+28
1.570  1.184964e+04  3.656798e+28
1.575  1.189597e+04  3.671097e+28
1.580  1.194234e+04  3.685405e+28
1.585  1.198873e+04  3.699723e+28
1.590  1.203516e+04  3.714050e+28
1.595  1.208161e+04  3.728386e+28
1.600  1.212810e+04  3.742731e+28
1.605  1.217461e+04  3.757085e+28
1.610  1.222116e+04  3.771449e+28
1.615  1.226773e+04  3.785821e+28
1.620  1.231433e+04  3.800203e+28
1.625  1.236096e+04  3.814594e+28
1.630  1.240763e+04  3.828993e+28
1.635  1.245432e+04  3.843402e+28
1.640  1.250103e+04  3.857819e+28
1.645  1.254778e+04  3.872245e+28
1.650  1.259456e+04  3.886680e+28
1.655  1.264136e+04  3.901124e+28
1.660  1.268820e+04  3.915577e+28
1.665  1.273506e+04  3.930038e+28
1.670  1.278195e+04  3.944509e+28
1.675  1.282886e+04  3.958987e+28
1.680  1.287581e+04  3.973475e+28
1.685  1.292278e+04  3.987971e+28
1.690  1.296978e+04  4.002475e+28
1.695  1.301681e+04  4.016989e+28
1.700  1.306387e+04  4.031510e+28
1.705  1.311095e+04  4.046040e+28
1.710  1.315807e+04  4.060579e+28
1.715  1.320520e+04  4.075126e+28
1.720  1.325237e+04  4.089682e+28
1.725  1.329956e+04  4.104245e+28
1.730  1.334678e+04  4.118817e+28
1.735  1.339403e+04  4.133398e+28
1.740  1.344130e+04  4.147986e+28
1.745  1.348860e+04  4.162583e+28
1.750  1.353593e+04  4.177189e+28
1.755  1.358329e+04  4.191802e+28
1.760  1.363067e+04  4.206423e+28
1.765  1.367807e+04  4.221053e+28
1.770  1.372550e+04  4.235691e+28
1.775  1.377296e+04  4.250336e+28
1.780  1.382045e+04  4.264990e+28
1.785  1.386796e+04  4.279652e+28
1.790  1.391549e+04  4.294322e+28
1.795  1.396306e+04  4.308999e+28
1.800  1.401065e+04  4.323685e+28
1.805  1.405826e+04  4.338379e+28
1.810  1.410590e+04  4.353080e+28
1.815  1.415356e+04  4.367789e+28
1.820  1.420125e+04  4.382507e+28
1.825  1.424897e+04  4.397231e+28
1.830  1.429671e+04  4.411964e+28
1.835  1.434447e+04  4.426704e+28
1.840  1.439226e+04  4.441453e+28
1.845  1.444008e+04  4.456208e+28
1.850  1.448792e+04  4.470972e+28
1.855  1.453578e+04  4.485743e+28
1.860  1.458367e+04  4.500522e+28
1.865  1.463159e+04  4.515308e+28
1.870  1.467953e+04  4.530102e+28
1.875  1.472749e+04  4.544903e+28
1.880  1.477548e+04  4.559712e+28
1.885  1.482349e+04  4.574528e+28
1.890  1.487152e+04  4.589352e+28
1.895  1.491958e+04  4.604183e+28
1.900  1.496767e+04  4.619022e+28
1.905  1.501577e+04  4.633868e+28
1.910  1.506391e+04  4.648721e+28
1.915  1.511206e+04  4.663582e+28
1.920  1.516024e+04  4.678450e+28
1.925  1.520844e+04  4.693325e+28
1.930  1.525667e+04  4.708208e+28
1.935  1.530492e+04  4.723097e+28
1.940  1.535319e+04  4.737994e+28
1.945  1.540149e+04  4.752899e+28
1.950  1.544981e+04  4.767810e+28
1.955  1.549815e+04  4.782728e+28
1.960  1.554651e+04  4.797654e+28
1.965  1.559490e+04  4.812587e+28
1.970  1.564331e+04  4.827526e+28
1.975  1.569175e+04  4.842473e+28
1.980  1.574020e+04  4.857427e+28
1.985  1.578868e+04  4.872388e+28
1.990  1.583719e+04  4.887356e+28
1.995  1.588571e+04  4.902331e+28
2.000  1.593426e+04  4.917312e+28
2.005  1.598283e+04  4.932301e+28
2.010  1.603142e+04  4.947297e+28
2.015  1.608004e+04  4.962299e+28
2.020  1.612867e+04  4.977308e+28
2.025  1.617733e+04  4.992324e+28
2.030  1.622601e+04  5.007347e+28
2.035  1.627472e+04  5.022377e+28
2.040  1.632344e+04  5.037414e+28
2.045  1.637219e+04  5.052457e+28
